時間指定,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,待ち時間,待ち時間（平均）,,
,2018/10/5 7:23,762,乗客アプリ（目的地から）,112,607,4,1,,2018/10/5 7:26,2018/10/5 7:26,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/5 10:02,2018/10/5 10:02,2018/10/5 10:13,2018/10/5 10:13,,,,,,,,
,2018/10/5 7:36,763,乗客アプリ（目的地から）,988,719,6,1,2018/10/5 7:37,,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.453715 139.638133,横浜ワールドポーターズ,2018/10/5 10:01,,2018/10/5 10:15,,,,,,,,,
,2018/10/5 8:58,764,乗客アプリ（目的地から）,1047,510,6,3,,2018/10/5 12:20,2018/10/5 12:20,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.443908 139.635249,イセザキ・モール,2018/10/5 11:30,2018/10/5 11:38,2018/10/5 11:54,2018/10/5 12:03,2018/10/5 11:30,,,,,,,
,2018/10/5 9:54,765,乗客アプリ（目的地から）,988,533,1,1,2018/10/5 9:55,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 10:04,,2018/10/5 10:13,,,,,,,,,
,2018/10/5 10:14,766,乗客アプリ（目的地から）,112,1157,1,1,2018/10/5 10:14,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 10:17,,2018/10/5 10:29,,,,,,,,,
,2018/10/5 10:17,767,乗客アプリ（地図から）,1005,1176,3,2,2018/10/5 14:48,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.447699 139.644009,横浜開港資料館,2018/10/5 15:22,,2018/10/5 15:40,,2018/10/5 15:20,,,,,,,
,2018/10/5 10:28,768,街角設置端末（店舗から）,0,1267,2,1,2018/10/5 10:28,,,35.456605 139.635327,横浜ベイホテル東急,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/5 10:37,,2018/10/5 10:56,,,,,,,,,
,2018/10/5 10:53,769,乗客アプリ（地図から）,1094,332,2,3,2018/10/5 11:17,,,35.456605 139.635327,横浜ベイホテル東急,35.443908 139.635249,イセザキ・モール,2018/10/5 11:02,,2018/10/5 11:21,,2018/10/5 11:00,,,,,,,
,2018/10/5 11:15,770,街角設置端末（地図から）,0,970,3,1,,2018/10/5 11:26,2018/10/5 11:31,35.456605 139.635327,横浜ベイホテル東急,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/5 11:25,2018/10/5 11:25,2018/10/5 11:37,2018/10/5 11:37,,0:04:28,0:04:28,120,11,08,,
,2018/10/5 11:26,771,街角設置端末（地図から）,0,944,6,2,,2018/10/5 11:43,2018/10/5 12:20,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443908 139.635249,イセザキ・モール,2018/10/5 11:29,2018/10/5 11:29,2018/10/5 12:02,2018/10/5 12:02,,0:37:05,1:14:10,,17,,,
,2018/10/5 11:37,774,乗客アプリ（地図から）,1108,536,8,1,,2018/10/5 11:45,2018/10/5 11:54,35.456605 139.635327,横浜ベイホテル東急,35.443863 139.64702,ローズホテル横浜,2018/10/5 11:48,2018/10/5 11:48,2018/10/5 12:05,2018/10/5 12:05,,0:09:08,0:09:08,,07,,,
,2018/10/5 11:50,779,街角設置端末（店舗から）,0,1046,7,1,,2018/10/5 11:50,2018/10/5 12:19,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/5 12:00,2018/10/5 12:00,2018/10/5 12:11,2018/10/5 12:11,,0:28:31,0:28:31,,00,,,
,2018/10/5 11:54,782,街角設置端末（地図から）,0,1105,10,1,,2018/10/5 12:08,2018/10/5 12:13,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/5 11:58,2018/10/5 11:58,2018/10/5 12:09,2018/10/5 12:09,,0:04:28,0:04:28,,14,,,
,2018/10/5 11:34,772,街角設置端末（店舗から）,0,852,4,4,2018/10/5 11:37,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/5 11:35,,2018/10/5 11:56,,,,,,01,,,
,2018/10/5 11:35,773,街角設置端末（地図から）,0,833,4,1,2018/10/5 11:35,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443073 139.651914,横浜人形の家,2018/10/5 11:37,,2018/10/5 12:07,,,,,,02,,,
,2018/10/5 11:43,775,街角設置端末（店舗から）,0,354,5,1,2018/10/5 11:44,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜,2018/10/5 11:53,,2018/10/5 12:07,,,,,,10,,,
,2018/10/5 11:51,780,乗客アプリWeb（目的地から）,79,795,4,1,2018/10/5 12:20,,,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.447541 139.644914,シルク博物館,2018/10/5 11:59,,2018/10/5 12:13,,,,,,07,,,
