,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,,
-,-,10,2018/10/7 9:59,1181,乗客アプリ（地図から）,1386,570,3,3,,2018/10/7 10:06,2018/10/7 10:16,35.456605 139.635327,横浜ベイホテル東急,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/7 10:10,2018/10/7 10:10,2018/10/7 10:34,2018/10/7 10:34,,0:10:43,0:32:09,561,00,06,07,,
-,-,10,2018/10/7 10:08,1186,街角設置端末（地図から）,0,569,2,6,,2018/10/7 10:12,2018/10/7 10:22,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/7 10:11,2018/10/7 10:11,2018/10/7 10:34,2018/10/7 10:34,,0:09:56,0:59:36,,01,03,,,
★,-,10,2018/10/7 10:13,1188,乗客アプリ（目的地から）,1358,710,10,1,,2018/10/7 10:16,2018/10/7 10:21,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/7 10:19,2018/10/7 10:19,2018/10/7 10:31,2018/10/7 10:31,2018/10/7 10:05,0:05:12,0:05:12,,00,13,,,
-,-,10,2018/10/7 10:14,1189,街角設置端末（店舗から）,0,595,7,1,,2018/10/7 10:20,2018/10/7 10:24,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/7 10:23,2018/10/7 10:23,2018/10/7 10:34,2018/10/7 10:34,,0:04:09,0:04:09,,00,06,,,
-,-,10,2018/10/7 10:12,1187,乗客アプリ（目的地から）,1752,949,10,2,,2018/10/7 10:22,2018/10/7 10:26,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 10:17,2018/10/7 10:19,2018/10/7 10:34,2018/10/7 10:46,,0:04:42,0:09:24,,04,09,,,
-,-,10,2018/10/7 10:19,1191,街角設置端末（店舗から）,0,363,8,2,,2018/10/7 10:23,2018/10/7 10:31,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 10:27,2018/10/7 10:27,2018/10/7 10:46,2018/10/7 10:46,,0:07:59,0:15:58,,00,04,,,
-,-,10,2018/10/7 10:25,1193,乗客アプリ（目的地から）,1885,392,3,1,,2018/10/7 10:31,2018/10/7 11:09,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/7 10:36,2018/10/7 10:37,2018/10/7 11:01,2018/10/7 11:10,,0:37:53,0:37:53,,00,06,,,
-,-,10,2018/10/7 10:26,1194,街角設置端末（地図から）,0,753,3,1,,2018/10/7 10:32,2018/10/7 11:02,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/7 10:35,2018/10/7 10:36,2018/10/7 10:59,2018/10/7 11:00,,0:30:28,0:30:28,,00,05,,,
-,-,10,2018/10/7 10:28,1197,街角設置端末（店舗から）,0,1241,3,1,,2018/10/7 10:32,2018/10/7 10:41,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/7 10:36,2018/10/7 10:36,2018/10/7 10:49,2018/10/7 10:49,,0:08:58,0:08:58,,00,04,,,
-,-,10,2018/10/7 10:29,1198,街角設置端末（地図から）,0,352,3,1,,2018/10/7 10:32,2018/10/7 10:38,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/7 10:34,2018/10/7 10:34,2018/10/7 10:44,2018/10/7 10:44,,0:06:28,0:06:28,,00,03,,,
-,-,10,2018/10/7 10:27,1195,乗客アプリ（地図から）,1706,1188,9,1,,2018/10/7 10:36,2018/10/7 10:44,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/7 10:37,2018/10/7 10:37,2018/10/7 10:55,2018/10/7 10:55,,0:07:53,0:07:53,,00,08,,,
-,-,10,2018/10/7 10:23,1192,街角設置端末（店舗から）,0,663,6,6,,2018/10/7 10:37,2018/10/7 10:46,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/10/7 10:34,2018/10/7 10:34,2018/10/7 10:51,2018/10/7 10:51,,0:08:25,0:50:30,,03,14,,,
