,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,
★,-,10,2018/10/11 8:15,2267,乗客アプリ（目的地から）,2413,1288,1,2,,2018/10/11 10:06,2018/10/11 10:11,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/11 10:08,2018/10/11 10:08,2018/10/11 10:23,2018/10/11 10:23,2018/10/11 10:00,2018/10/11 10:00,0:04:55,0:09:50,247,00,06,05,05,,
★,-,10,2018/10/11 9:54,2268,乗客アプリ（地図から）,2351,728,5,1,,2018/10/11 10:04,2018/10/11 10:12,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/10/11 10:05,2018/10/11 10:06,2018/10/11 10:17,2018/10/11 10:28,2018/10/11 10:00,2018/10/11 10:00,0:08:17,0:08:17,,00,03,,,,
★,-,10,2018/10/11 10:04,2272,乗客アプリ（目的地から）,1358,306,7,1,,2018/10/11 10:09,2018/10/11 10:15,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/11 10:11,2018/10/11 10:11,2018/10/11 10:22,2018/10/11 10:22,2018/10/11 10:11,2018/10/11 10:11,0:05:43,0:05:43,,00,00,,,,
-,-,10,2018/10/11 10:08,2274,乗客アプリ（地図から）,2314,1246,4,1,,2018/10/11 10:12,2018/10/11 10:23,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443073 139.651914,横浜人形の家,2018/10/11 10:13,2018/10/11 10:13,2018/10/11 10:39,2018/10/11 10:40,,2018/10/11 10:08,0:11:38,0:11:38,,00,03,,,,
★,-,10,2018/10/11 10:11,2275,街角設置端末（地図から）,0,913,4,1,,2018/10/11 10:12,2018/10/11 10:15,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/11 10:15,2018/10/11 10:15,2018/10/11 10:22,2018/10/11 10:22,2018/10/11 10:15,2018/10/11 10:15,0:03:12,0:03:12,,00,00,,,,
-,-,10,2018/10/11 10:14,2277,街角設置端末（地図から）,0,1273,9,1,,2018/10/11 10:20,2018/10/11 10:45,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/11 10:20,2018/10/11 10:21,2018/10/11 10:44,2018/10/11 10:54,,2018/10/11 10:14,0:24:53,0:24:53,,00,06,,,,
-,-,10,2018/10/11 10:14,2278,乗客アプリ（地図から）,2306,367,9,2,,2018/10/11 10:20,2018/10/11 10:42,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/11 10:20,2018/10/11 10:20,2018/10/11 10:44,2018/10/11 10:44,,2018/10/11 10:14,0:22:00,0:44:00,,00,05,,,,
★,-,10,2018/10/11 10:22,2279,乗客アプリ（地図から）,2176,825,8,1,,2018/10/11 10:32,2018/10/11 10:38,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/10/11 10:35,2018/10/11 10:35,2018/10/11 10:47,2018/10/11 10:47,2018/10/11 10:35,2018/10/11 10:35,0:06:06,0:06:06,,00,00,,,,
-,-,10,2018/10/11 10:24,2280,乗客アプリ（目的地から）,1958,804,9,1,,2018/10/11 10:34,2018/10/11 10:42,35.454389 139.630904,横浜ランドマークタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/11 10:29,2018/10/11 10:29,2018/10/11 10:45,2018/10/11 10:45,,2018/10/11 10:24,0:07:36,0:07:36,,05,09,,,,
-,-,10,2018/10/11 10:30,2281,乗客アプリ（地図から）,2424,1277,8,1,,2018/10/11 10:36,2018/10/11 10:40,35.454389 139.630904,横浜ランドマークタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/11 10:42,2018/10/11 10:42,2018/10/11 10:50,2018/10/11 10:50,,2018/10/11 10:30,0:04:11,0:04:11,,00,05,,,,
