,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
★,-,10,2018/10/14 6:54,3066,乗客アプリ（地図から）,2744,792,5,1,,2018/10/14 10:46,2018/10/14 10:50,35.448676 139.635696,横浜平和プラザホテル,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/10/14 10:50,2018/10/14 10:52,2018/10/14 10:58,2018/10/14 11:01,2018/10/14 10:50,2018/10/14 10:50,0:03:40,0:03:40,388,00,00,05,04,,,,
★,-,10,2018/10/14 9:18,3070,乗客アプリ（目的地から）,2127,885,7,1,,2018/10/14 10:12,2018/10/14 10:30,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/10/14 10:10,2018/10/14 10:10,2018/10/14 10:27,2018/10/14 10:37,2018/10/14 10:10,2018/10/14 10:10,0:18:00,0:18:00,,02,02,,,,,,
★,-,10,2018/10/14 9:51,3073,乗客アプリ（地図から）,2351,592,1,1,,2018/10/14 10:28,2018/10/14 10:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 10:30,2018/10/14 10:30,2018/10/14 10:39,2018/10/14 10:39,2018/10/14 10:30,2018/10/14 10:30,0:07:50,0:07:50,,00,00,,,,,,
★,-,10,2018/10/14 9:57,3076,乗客アプリ（地図から）,1669,789,7,2,,2018/10/14 10:25,2018/10/14 10:30,35.447546 139.64358,横浜開港資料館,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 10:26,2018/10/14 10:26,2018/10/14 10:46,2018/10/14 10:46,2018/10/14 10:25,2018/10/14 10:25,0:04:57,0:09:54,,00,00,,,,,,
★,-,10,2018/10/14 9:57,3077,街角設置端末（地図から）,0,1160,5,2,,2018/10/14 10:09,2018/10/14 10:25,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/14 10:05,2018/10/14 10:05,2018/10/14 10:23,2018/10/14 10:23,2018/10/14 10:00,2018/10/14 10:00,0:15:27,0:30:54,,03,09,,,,,,
-,-,10,2018/10/14 10:02,3079,街角設置端末（店舗から）,0,822,8,1,,2018/10/14 10:10,2018/10/14 10:15,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/14 10:07,2018/10/14 10:11,2018/10/14 10:19,2018/10/14 10:23,,2018/10/14 10:02,0:05:01,0:05:01,,02,08,,,,,,
★,-,10,2018/10/14 10:03,3080,乗客アプリ（簡単予約）,2702,1271,3,2,,2018/10/14 10:20,2018/10/14 10:30,35.443073 139.651914,横浜人形の家,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/14 10:25,2018/10/14 10:25,2018/10/14 10:46,2018/10/14 10:46,2018/10/14 10:15,2018/10/14 10:15,0:10:19,0:20:38,,00,05,,,,,,
-,-,10,2018/10/14 10:04,3081,乗客アプリ（目的地から）,1727,857,8,1,,2018/10/14 10:10,2018/10/14 10:26,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/14 10:09,2018/10/14 10:10,2018/10/14 10:34,2018/10/14 10:49,,2018/10/14 10:04,0:15:35,0:15:35,,01,05,,,,,,
-,-,10,2018/10/14 10:05,3082,乗客アプリ（目的地から）,1885,506,8,1,,2018/10/14 10:10,2018/10/14 10:18,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/14 10:10,2018/10/14 10:10,2018/10/14 10:34,2018/10/14 10:34,,2018/10/14 10:05,0:08:37,0:08:37,,00,04,,,,,,
-,-,10,2018/10/14 10:07,3083,街角設置端末（地図から）,0,776,4,1,,2018/10/14 10:11,2018/10/14 10:42,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/14 10:11,2018/10/14 10:11,2018/10/14 10:34,2018/10/14 10:34,,2018/10/14 10:07,0:30:22,0:30:22,,00,04,,,,,,
