,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
★,-,10,2018/10/18 8:34,4173,まちかど設置端末（店舗から）,0,587,1,1,,2018/10/18 10:08,2018/10/18 10:19,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/18 10:08,2018/10/18 10:09,2018/10/18 10:21,2018/10/18 10:32,2018/10/18 10:00,2018/10/18 10:00,0:10:58,0:10:58,447,00,08,03,01,,,
★,-,10,2018/10/18 8:38,4174,乗客アプリ（目的地から）,2991,677,4,1,,2018/10/18 10:18,2018/10/18 10:23,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/18 10:20,2018/10/18 10:20,2018/10/18 10:29,2018/10/18 10:29,2018/10/18 10:20,2018/10/18 10:20,0:04:34,0:04:34,,00,00,,,,,
★,-,10,2018/10/18 9:02,4176,乗客アプリ（地図から）,2475,605,2,2,,2018/10/18 11:02,2018/10/18 11:10,35.45435 139.631762,横浜ロイヤルパークホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/18 11:10,2018/10/18 11:16,2018/10/18 11:27,2018/10/18 11:34,2018/10/18 11:10,2018/10/18 11:10,0:08:04,0:16:08,,00,00,,,,,
★,-,10,2018/10/18 9:12,4177,乗客アプリ（目的地から）,3235,1010,2,1,,2018/10/18 18:30,2018/10/18 18:40,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:32,2018/10/18 18:47,2018/10/18 18:52,2018/10/18 18:30,2018/10/18 18:30,0:09:31,0:09:31,,00,00,,,,,
★,-,10,2018/10/18 9:12,4178,乗客アプリ（目的地から）,3138,795,2,1,,2018/10/18 18:30,2018/10/18 18:40,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:31,2018/10/18 18:47,2018/10/18 18:51,2018/10/18 18:30,2018/10/18 18:30,0:09:45,0:09:45,,00,00,,,,,
★,-,10,2018/10/18 9:13,4179,乗客アプリ（簡単予約）,2915,1056,1,1,,2018/10/18 10:08,2018/10/18 10:15,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/18 10:07,2018/10/18 10:09,2018/10/18 10:19,2018/10/18 10:20,2018/10/18 10:00,2018/10/18 10:00,0:07:42,0:07:42,,00,07,,,,,
★,-,10,2018/10/18 9:14,4180,乗客アプリ（目的地から）,3126,909,2,1,,2018/10/18 18:30,2018/10/18 18:40,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:32,2018/10/18 18:48,2018/10/18 18:51,2018/10/18 18:30,2018/10/18 18:30,0:09:30,0:09:30,,00,00,,,,,
★,-,10,2018/10/18 9:14,4181,乗客アプリ（目的地から）,3140,1224,2,1,,2018/10/18 18:30,2018/10/18 18:39,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:31,2018/10/18 18:48,2018/10/18 18:50,2018/10/18 18:30,2018/10/18 18:30,0:09:27,0:09:27,,00,00,,,,,
★,-,10,2018/10/18 9:23,4182,乗客アプリ（地図から）,3251,754,1,1,,2018/10/18 10:08,2018/10/18 10:19,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/18 10:08,2018/10/18 10:08,2018/10/18 10:31,2018/10/18 10:31,2018/10/18 10:00,2018/10/18 10:00,0:11:11,0:11:11,,00,08,,,,,
★,-,10,2018/10/18 9:33,4183,乗客アプリ（目的地から）,3260,1255,2,1,,2018/10/18 18:30,2018/10/18 18:39,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:30,2018/10/18 18:49,2018/10/18 18:50,2018/10/18 18:30,2018/10/18 18:30,0:08:57,0:08:57,,00,00,,,,,
-,-,10,2018/10/18 9:41,4184,まちかど設置端末（店舗から）,0,779,6,3,,2018/10/18 10:08,2018/10/18 10:14,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/18 10:09,2018/10/18 10:24,2018/10/18 10:24,2018/10/18 10:38,,2018/10/18 9:41,0:06:08,0:18:24,,00,08,,,,2018/10/18 10:00,※10時以前に予約しているため
-,-,10,2018/10/18 9:53,4185,乗客アプリ（目的地から）,2314,905,2,1,,2018/10/18 10:04,2018/10/18 10:22,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443073 139.651914,横浜人形の家,2018/10/18 10:04,2018/10/18 10:05,2018/10/18 10:29,2018/10/18 10:36,,2018/10/18 9:53,0:17:37,0:17:37,,00,04,,,,2018/10/18 10:00,※10時以前に予約しているため
-,-,10,2018/10/18 9:54,4186,乗客アプリ（地図から）,2354,1270,3,1,,2018/10/18 10:07,2018/10/18 10:11,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443908 139.635249,イセザキ・モール,2018/10/18 10:12,2018/10/18 10:12,2018/10/18 10:20,2018/10/18 10:20,,2018/10/18 9:54,0:04:31,0:04:31,,00,07,,,,2018/10/18 10:00,※10時以前に予約しているため
★,-,10,2018/10/18 10:00,4187,乗客アプリ（地図から）,2533,941,2,4,,2018/10/18 17:17,2018/10/18 17:22,35.445783 139.642958,横浜情報文化センター,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 17:15,2018/10/18 17:19,2018/10/18 17:23,2018/10/18 17:27,2018/10/18 17:15,2018/10/18 17:15,0:05:19,0:21:16,,01,01,,,,,
★,-,10,2018/10/18 10:00,4188,乗客アプリ（目的地から）,2296,695,4,6,,2018/10/18 17:14,2018/10/18 17:18,35.445783 139.642958,横浜情報文化センター,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 17:15,2018/10/18 17:17,2018/10/18 17:24,2018/10/18 17:27,2018/10/18 17:15,2018/10/18 17:15,0:04:17,0:25:42,,00,00,,,,,
-,-,10,2018/10/18 10:00,4189,乗客アプリ（目的地から）,3172,974,8,3,,2018/10/18 10:12,2018/10/18 10:19,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454389 139.630904,横浜ランドマークタワー,2018/10/18 10:20,2018/10/18 10:21,2018/10/18 10:41,2018/10/18 10:41,,2018/10/18 10:00,0:07:29,0:22:27,,00,11,,,,,
-,-,10,2018/10/18 10:01,4190,乗客アプリ（目的地から）,1663,1289,2,1,,2018/10/18 10:04,2018/10/18 10:18,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/18 10:06,2018/10/18 10:06,2018/10/18 10:30,2018/10/18 10:34,,2018/10/18 10:01,0:13:21,0:13:21,,00,03,,,,,
★,-,10,2018/10/18 10:02,4191,乗客アプリ（地図から）,3018,951,8,5,,2018/10/18 17:14,2018/10/18 17:18,35.445783 139.642958,横浜情報文化センター,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 17:15,2018/10/18 17:15,2018/10/18 17:23,2018/10/18 17:23,2018/10/18 17:15,2018/10/18 17:15,0:04:06,0:20:30,,00,00,,,,,
★,-,10,2018/10/18 10:02,4192,乗客アプリ（地図から）,3266,920,10,5,,2018/10/18 17:17,2018/10/18 17:22,35.445783 139.642958,横浜情報文化センター,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 17:16,2018/10/18 17:16,2018/10/18 17:25,2018/10/18 17:25,2018/10/18 17:15,2018/10/18 17:15,0:05:14,0:26:10,,00,01,,,,,
-,-,10,2018/10/18 10:04,4193,乗客アプリ（地図から）,2171,1184,2,1,,2018/10/18 10:05,2018/10/18 10:28,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/18 10:09,2018/10/18 10:09,2018/10/18 10:47,2018/10/18 10:50,,2018/10/18 10:04,0:23:21,0:23:21,,00,00,,,,,
-,-,10,2018/10/18 10:04,4194,乗客アプリ（目的地から）,1358,1254,10,1,,2018/10/18 10:08,2018/10/18 10:13,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/18 10:09,2018/10/18 10:09,2018/10/18 10:20,2018/10/18 10:20,,2018/10/18 10:04,0:05:20,0:05:20,,00,03,,,,,
-,-,10,2018/10/18 10:05,4195,まちかど設置端末（店舗から）,0,650,2,1,,2018/10/18 10:06,2018/10/18 10:09,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/18 10:12,2018/10/18 10:12,2018/10/18 10:19,2018/10/18 10:19,,2018/10/18 10:05,0:03:03,0:03:03,,00,00,,,,,
★,-,10,2018/10/18 10:06,4196,まちかど設置端末（店舗から）,0,1150,7,1,,2018/10/18 11:35,2018/10/18 11:40,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 11:42,2018/10/18 11:42,2018/10/18 11:53,2018/10/18 11:53,2018/10/18 11:42,2018/10/18 11:42,0:05:41,0:05:41,,00,00,,,,,
★,-,10,2018/10/18 10:06,4197,乗客アプリ（地図から）,3265,1112,6,6,,2018/10/18 17:15,2018/10/18 17:19,35.445783 139.642958,横浜情報文化センター,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 17:15,2018/10/18 17:15,2018/10/18 17:24,2018/10/18 17:24,2018/10/18 17:15,2018/10/18 17:15,0:03:17,0:19:42,,00,00,,,,,
-,-,10,2018/10/18 10:07,4198,まちかど設置端末（地図から）,0,602,9,1,,2018/10/18 10:19,2018/10/18 10:36,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/18 10:13,2018/10/18 10:14,2018/10/18 10:35,2018/10/18 10:37,,2018/10/18 10:07,0:17:15,0:17:15,,06,12,,,,,
-,-,10,2018/10/18 10:08,4199,乗客アプリ（地図から）,1666,617,9,1,,2018/10/18 10:19,2018/10/18 10:22,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/18 10:13,2018/10/18 10:13,2018/10/18 10:21,2018/10/18 10:21,,2018/10/18 10:08,0:03:54,0:03:54,,05,11,,,,,
★,-,10,2018/10/18 10:16,4201,乗客アプリ（地図から）,3276,541,2,1,,2018/10/18 18:30,2018/10/18 18:39,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:30,2018/10/18 18:49,2018/10/18 18:49,2018/10/18 18:30,2018/10/18 18:30,0:09:24,0:09:24,,00,00,,,,,
★,-,10,2018/10/18 10:18,4202,乗客アプリ（目的地から）,3269,762,8,1,,2018/10/18 18:29,2018/10/18 18:39,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,2018/10/18 18:31,2018/10/18 18:47,2018/10/18 18:49,2018/10/18 18:30,2018/10/18 18:30,0:10:32,0:10:32,,00,00,,,,,
-,-,10,2018/10/18 10:21,4204,乗客アプリ（目的地から）,3172,305,9,1,,2018/10/18 10:23,2018/10/18 10:31,35.454389 139.630904,横浜ランドマークタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/18 10:23,2018/10/18 10:23,2018/10/18 10:39,2018/10/18 10:39,,2018/10/18 10:21,0:07:19,0:07:19,,00,01,,,,,
★,-,10,2018/10/18 10:33,4205,乗客アプリ（目的地から）,3172,1190,2,1,,2018/10/18 10:44,2018/10/18 11:00,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.454389 139.630904,横浜ランドマークタワー,2018/10/18 10:50,2018/10/18 10:50,2018/10/18 11:08,2018/10/18 11:14,2018/10/18 10:50,2018/10/18 10:50,0:15:58,0:15:58,,00,00,,,,,
★,-,10,2018/10/18 10:34,4206,乗客アプリ（目的地から）,2679,522,2,1,,2018/10/18 10:46,2018/10/18 10:55,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.453715 139.638133,横浜ワールドポーターズ,2018/10/18 10:50,2018/10/18 10:50,2018/10/18 11:04,2018/10/18 11:04,2018/10/18 10:50,2018/10/18 10:50,0:09:13,0:09:13,,00,00,,,,,
-,-,10,2018/10/18 10:38,4207,乗客アプリ（地図から）,1666,1275,3,1,,2018/10/18 10:44,2018/10/18 10:49,35.454389 139.630904,横浜ランドマークタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/18 10:47,2018/10/18 10:47,2018/10/18 10:58,2018/10/18 10:58,,2018/10/18 10:38,0:05:07,0:05:07,,00,05,,,,,
-,-,10,2018/10/18 10:41,4208,乗客アプリ（目的地から）,2640,1118,10,1,,2018/10/18 10:47,2018/10/18 10:53,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/18 10:52,2018/10/18 10:52,2018/10/18 11:06,2018/10/18 11:06,,2018/10/18 10:41,0:06:56,0:06:56,,00,05,,,,,
-,-,10,2018/10/18 10:52,4209,乗客アプリ（地図から）,3029,689,7,1,,2018/10/18 10:58,2018/10/18 11:06,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.453715 139.638133,横浜ワールドポーターズ,2018/10/18 11:01,2018/10/18 11:01,2018/10/18 11:16,2018/10/18 11:16,,2018/10/18 10:52,0:07:47,0:07:47,,00,05,,,,,
-,-,10,2018/10/18 10:54,4210,乗客アプリ（地図から）,1666,788,6,1,,2018/10/18 11:01,2018/10/18 11:06,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/18 11:03,2018/10/18 11:04,2018/10/18 11:13,2018/10/18 11:15,,2018/10/18 10:54,0:04:35,0:04:35,,00,07,,,,,
-,-,10,2018/10/18 10:54,4211,まちかど設置端末（店舗から）,0,977,6,2,,2018/10/18 11:01,2018/10/18 11:11,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/10/18 11:03,2018/10/18 11:03,2018/10/18 11:24,2018/10/18 11:24,,2018/10/18 10:54,0:09:27,0:18:54,,00,07,,,,,
-,-,10,2018/10/18 10:55,4212,乗客アプリ（目的地から）,2314,440,10,1,,2018/10/18 10:59,2018/10/18 11:05,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/18 11:02,2018/10/18 11:02,2018/10/18 11:18,2018/10/18 11:18,,2018/10/18 10:55,0:06:15,0:06:15,,00,03,,,,,
★,☆,10,2018/10/18 8:03,4172,乗客アプリ（地図から）,3252,871,1,1,2018/10/18 8:04,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443704 139.651332,ホテルメルパルク横浜,2018/10/18 10:08,,2018/10/18 10:25,,2018/10/18 8:50,2018/10/18 8:50,0:00:00,0:00:00,,00,,,,,,
-,☆,10,2018/10/18 8:43,4175,まちかど設置端末（店舗から）,0,351,2,3,2018/10/18 8:43,,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/18 10:09,,2018/10/18 10:24,,,2018/10/18 8:43,0:00:00,0:00:00,,00,,,,,,
★,☆,10,2018/10/18 10:14,4200,乗客アプリ（地図から）,2351,563,6,1,2018/10/18 10:15,,,35.454389 139.630904,横浜ランドマークタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/18 16:06,,2018/10/18 16:26,,2018/10/18 16:05,2018/10/18 16:05,0:00:00,0:00:00,,00,00,,,,,
★,☆,10,2018/10/18 10:20,4203,乗客アプリ（地図から）,3274,659,8,1,2018/10/18 13:36,,,35.443659 139.650847,横浜マリンタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 18:30,,2018/10/18 18:47,,2018/10/18 18:30,2018/10/18 18:30,0:00:00,0:00:00,,00,00,,,,,
★,-,11,2018/10/18 11:11,4213,乗客アプリ（地図から）,1594,1059,6,2,,2018/10/18 11:18,2018/10/18 11:32,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/18 11:21,2018/10/18 11:21,2018/10/18 11:37,2018/10/18 11:47,2018/10/18 11:12,2018/10/18 11:12,0:14:12,0:28:24,254,00,06,04,02,,,
-,-,11,2018/10/18 11:15,4214,まちかど設置端末（地図から）,0,684,5,3,,2018/10/18 11:21,2018/10/18 11:29,35.455715 139.638114,横浜みなとみらい万葉倶楽部,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/18 11:25,2018/10/18 11:25,2018/10/18 11:41,2018/10/18 11:41,,2018/10/18 11:15,0:07:53,0:23:39,,00,06,,,,,
-,-,11,2018/10/18 11:16,4215,乗客アプリ（地図から）,1666,1096,6,1,,2018/10/18 11:18,2018/10/18 11:25,35.450681 139.632446,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/18 11:19,2018/10/18 11:19,2018/10/18 11:34,2018/10/18 11:34,,2018/10/18 11:16,0:07:25,0:07:25,,00,01,,,,,
-,-,11,2018/10/18 11:17,4216,まちかど設置端末（店舗から）,0,775,2,2,,2018/10/18 11:19,2018/10/18 11:25,35.45435 139.631762,横浜ロイヤルパークホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/18 11:25,2018/10/18 11:25,2018/10/18 11:37,2018/10/18 11:37,,2018/10/18 11:17,0:05:21,0:10:42,,00,02,,,,,
★,-,11,2018/10/18 11:19,4217,まちかど設置端末（店舗から）,0,435,1,1,,2018/10/18 12:24,2018/10/18 12:35,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/10/18 12:30,2018/10/18 12:30,2018/10/18 12:47,2018/10/18 12:47,2018/10/18 12:30,2018/10/18 12:30,0:10:59,0:10:59,,00,00,,,,,
