,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/10/20 9:37,4737,乗客アプリ（目的地から）,3453,576,10,4,,2018/10/20 10:02,2018/10/20 10:16,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441441 139.648505,横浜中華街朱雀門,2018/10/20 10:05,2018/10/20 10:05,2018/10/20 10:22,2018/10/20 10:22,,2018/10/20 9:37,0:13:10,0:52:40,480,00,25,08,06,,,
-,-,10,2018/10/20 10:14,4739,まちかど設置端末（地図から）,0,1299,7,4,,2018/10/20 10:18,2018/10/20 10:30,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/20 10:19,2018/10/20 10:19,2018/10/20 10:38,2018/10/20 10:38,,2018/10/20 10:14,0:12:33,0:50:12,,00,03,,,,,
-,-,10,2018/10/20 10:15,4740,乗客アプリ（目的地から）,1358,886,4,1,,2018/10/20 10:19,2018/10/20 10:29,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/20 10:19,2018/10/20 10:20,2018/10/20 10:27,2018/10/20 10:33,,2018/10/20 10:15,0:10:19,0:10:19,,00,03,,,,,
-,-,10,2018/10/20 10:16,4741,まちかど設置端末（店舗から）,0,335,4,2,,2018/10/20 10:25,2018/10/20 10:30,35.45435 139.631762,横浜ロイヤルパークホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/20 10:24,2018/10/20 10:24,2018/10/20 10:34,2018/10/20 10:34,,2018/10/20 10:16,0:04:47,0:09:34,,00,08,,,,,
-,-,10,2018/10/20 10:18,4742,まちかど設置端末（地図から）,0,737,5,2,,2018/10/20 10:27,2018/10/20 10:40,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/20 10:27,2018/10/20 10:29,2018/10/20 10:44,2018/10/20 10:49,,2018/10/20 10:18,0:12:46,0:25:32,,00,08,,,,,
-,-,10,2018/10/20 10:19,4743,まちかど設置端末（地図から）,0,733,5,1,,2018/10/20 10:27,2018/10/20 10:44,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/10/20 10:31,2018/10/20 10:31,2018/10/20 10:53,2018/10/20 10:56,,2018/10/20 10:19,0:16:36,0:16:36,,00,07,,,,,
-,-,10,2018/10/20 10:20,4746,まちかど設置端末（地図から）,0,368,5,1,,2018/10/20 10:27,2018/10/20 10:34,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/20 10:28,2018/10/20 10:28,2018/10/20 10:40,2018/10/20 10:40,,2018/10/20 10:20,0:06:54,0:06:54,,00,06,,,,,
★,-,10,2018/10/20 10:21,4748,乗客アプリ（地図から）,2737,473,2,1,,2018/10/20 10:49,2018/10/20 11:09,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/20 10:51,2018/10/20 10:51,2018/10/20 11:04,2018/10/20 11:06,2018/10/20 10:51,2018/10/20 10:51,0:20:19,0:20:19,,00,00,,,,,※乗車予定時間より前のため
-,-,10,2018/10/20 10:22,4749,乗客アプリ（地図から）,1340,1081,9,1,,2018/10/20 10:39,2018/10/20 10:44,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/20 10:31,2018/10/20 10:35,2018/10/20 10:36,2018/10/20 10:42,,2018/10/20 10:22,0:05:03,0:05:03,,08,17,,,,,
-,-,10,2018/10/20 10:25,4751,まちかど設置端末（店舗から）,0,920,1,3,,2018/10/20 10:31,2018/10/20 10:37,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/20 10:32,2018/10/20 10:32,2018/10/20 10:42,2018/10/20 10:42,,2018/10/20 10:25,0:05:53,0:17:39,,00,06,,,,,
-,-,10,2018/10/20 10:27,4752,まちかど設置端末（地図から）,0,691,9,2,,2018/10/20 11:10,2018/10/20 11:15,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/20 10:38,2018/10/20 10:38,2018/10/20 11:07,2018/10/20 11:07,,2018/10/20 10:27,0:04:50,0:09:40,,32,42,,,,,
-,-,10,2018/10/20 10:30,4753,まちかど設置端末（店舗から）,0,337,2,2,,2018/10/20 10:37,2018/10/20 10:55,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/20 10:37,2018/10/20 10:37,2018/10/20 10:59,2018/10/20 10:59,,2018/10/20 10:30,0:18:20,0:36:40,,00,07,,,,,
-,-,10,2018/10/20 10:34,4754,乗客アプリ（地図から）,1666,797,8,1,,2018/10/20 10:39,2018/10/20 10:43,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.454389 139.630904,横浜ランドマークタワー,2018/10/20 10:40,2018/10/20 10:40,2018/10/20 10:45,2018/10/20 10:45,,2018/10/20 10:34,0:03:40,0:03:40,,00,04,,,,,
-,-,10,2018/10/20 10:34,4755,まちかど設置端末（地図から）,0,379,3,1,,2018/10/20 10:38,2018/10/20 11:12,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443073 139.651914,横浜人形の家,2018/10/20 10:41,2018/10/20 10:41,2018/10/20 11:08,2018/10/20 11:08,,2018/10/20 10:34,0:34:35,0:34:35,,00,03,,,,,
-,-,10,2018/10/20 10:36,4756,まちかど設置端末（店舗から）,0,722,8,3,,2018/10/20 10:44,2018/10/20 10:57,35.45435 139.631762,横浜ロイヤルパークホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/20 10:46,2018/10/20 10:47,2018/10/20 10:56,2018/10/20 11:05,,2018/10/20 10:36,0:12:36,0:37:48,,00,07,,,,,
-,-,10,2018/10/20 10:41,4757,乗客アプリ（目的地から）,2975,383,8,3,,2018/10/20 10:45,2018/10/20 10:53,35.450681 139.632446,横浜桜木町ワシントンホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/10/20 10:51,2018/10/20 10:51,2018/10/20 11:00,2018/10/20 11:00,,2018/10/20 10:41,0:08:00,0:24:00,,00,03,,,,,
-,-,10,2018/10/20 10:48,4758,乗客アプリ（地図から）,3035,465,7,3,,2018/10/20 10:57,2018/10/20 11:01,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/20 10:56,2018/10/20 10:56,2018/10/20 11:03,2018/10/20 11:03,,2018/10/20 10:48,0:03:59,0:11:57,,01,08,,,,,
-,-,10,2018/10/20 10:50,4760,乗客アプリ（目的地から）,3485,877,3,3,,2018/10/20 11:01,2018/10/20 11:08,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/10/20 10:58,2018/10/20 10:58,2018/10/20 11:11,2018/10/20 11:11,,2018/10/20 10:50,0:07:37,0:22:51,,02,10,,,,,
-,-,10,2018/10/20 10:50,4761,乗客アプリ（地図から）,1340,990,2,1,,2018/10/20 11:01,2018/10/20 11:08,35.454389 139.630904,横浜ランドマークタワー,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/10/20 11:01,2018/10/20 11:01,2018/10/20 11:09,2018/10/20 11:12,,2018/10/20 10:50,0:06:50,0:06:50,,00,10,,,,,
-,-,10,2018/10/20 10:57,4763,乗客アプリ（目的地から）,1964,811,4,3,,2018/10/20 11:00,2018/10/20 11:08,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/20 11:00,2018/10/20 11:00,2018/10/20 11:10,2018/10/20 11:15,,2018/10/20 10:57,0:08:20,0:25:00,,00,03,,,,,
-,-,10,2018/10/20 10:57,4764,まちかど設置端末（店舗から）,0,1048,1,4,,2018/10/20 11:08,2018/10/20 11:18,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443659 139.650847,横浜マリンタワー,2018/10/20 10:59,2018/10/20 10:59,2018/10/20 11:10,2018/10/20 11:10,,2018/10/20 10:57,0:09:49,0:39:16,,08,11,,,,,
-,-,10,2018/10/20 10:59,4766,まちかど設置端末（地図から）,0,1074,8,2,,2018/10/20 11:05,2018/10/20 11:12,35.445857 139.647636,ホテルモントレ横浜,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/20 11:03,2018/10/20 11:04,2018/10/20 11:13,2018/10/20 11:18,,2018/10/20 10:59,0:06:34,0:13:08,,02,05,,,,,
★,☆,10,2018/10/20 9:33,4735,乗客アプリ（目的地から）,3393,1098,1,1,2018/10/20 9:33,,,35.445783 139.642958,横浜情報文化センター,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/20 10:11,,2018/10/20 10:19,,2018/10/20 10:03,2018/10/20 10:03,0:00:00,0:00:00,,00,08,,,,,
-,☆,10,2018/10/20 9:35,4736,乗客アプリ（地図から）,3475,1104,1,1,2018/10/20 9:35,,,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/10/20 10:11,,2018/10/20 10:17,,,2018/10/20 9:35,0:00:00,0:00:00,,00,11,,,,2018/10/20 10:00,※10時以前に予約しているため
-,☆,10,2018/10/20 10:11,4738,乗客アプリ（目的地から）,1358,890,9,1,2018/10/20 10:15,2018/10/20 10:12,,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/10/20 10:15,2018/10/20 10:15,2018/10/20 10:23,,,2018/10/20 10:11,,,,00,03,,,,,
-,☆,10,2018/10/20 10:20,4744,乗客アプリ（地図から）,2737,778,8,1,2018/10/20 10:20,,,35.443908 139.635249,イセザキ・モール,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/20 10:25,,2018/10/20 10:37,,,2018/10/20 10:20,0:00:00,0:00:00,,00,05,,,,,
★,☆,10,2018/10/20 10:20,4745,乗客アプリ（目的地から）,3470,750,9,2,2018/10/20 11:10,,,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/20 10:50,,2018/10/20 11:03,,2018/10/20 10:50,2018/10/20 10:50,0:00:00,0:00:00,,00,20,,,,,
★,☆,10,2018/10/20 10:21,4747,乗客アプリ（地図から）,1686,566,3,3,2018/10/20 10:50,2018/10/20 10:45,,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/20 10:51,2018/10/20 10:51,2018/10/20 11:11,,2018/10/20 10:51,2018/10/20 10:51,,,,00,00,,,,,
-,☆,10,2018/10/20 10:22,4750,まちかど設置端末（地図から）,0,1280,1,1,2018/10/20 10:27,,,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443073 139.651914,横浜人形の家,2018/10/20 10:29,,2018/10/20 10:46,,,2018/10/20 10:22,0:00:00,0:00:00,,00,06,,,,,
