,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,,
-,-,10,2018/10/27 9:16,6876,乗客アプリ（簡単予約）,2915,914,6,1,,2018/10/27 10:06,2018/10/27 10:16,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/27 10:05,2018/10/27 10:06,2018/10/27 10:14,2018/10/27 10:17,,2018/10/27 9:16,0:09:25,0:09:25,477,00,06,05,05,2018/10/27 9:16,2018/10/27 10:16,43400.386111111143400.4277777778,#N/A,,2018/10/27 10:00,,
★,-,10,2018/10/27 9:47,6877,まちかど設置端末（店舗から）,0,378,7,3,,2018/10/27 10:41,2018/10/27 10:46,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/27 10:46,2018/10/27 10:46,2018/10/27 10:55,2018/10/27 10:55,2018/10/27 10:46,2018/10/27 10:46,0:04:58,0:14:54,,00,00,,,2018/10/27 9:47,2018/10/27 10:46,43400.407638888943400.4486111111,#N/A,,,,
-,-,10,2018/10/27 9:58,6880,乗客アプリ（目的地から）,4136,1255,3,2,,2018/10/27 10:06,2018/10/27 10:16,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/27 10:03,2018/10/27 10:04,2018/10/27 10:13,2018/10/27 10:15,,2018/10/27 9:58,0:09:47,0:19:34,,02,06,,,2018/10/27 9:58,2018/10/27 10:16,43400.415277777843400.4277777778,#N/A,,2018/10/27 10:00,,
-,-,10,2018/10/27 9:59,6881,乗客アプリ（地図から）,3263,639,5,1,,2018/10/27 10:02,2018/10/27 10:15,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/10/27 10:01,2018/10/27 10:01,2018/10/27 10:12,2018/10/27 10:20,,2018/10/27 9:59,0:13:34,0:13:34,,00,02,,,2018/10/27 9:59,2018/10/27 10:15,43400.415972222243400.4270833333,肯定的,,2018/10/27 10:00,,
-,-,10,2018/10/27 9:59,6882,乗客アプリ（目的地から）,1740,1174,5,1,,2018/10/27 10:05,2018/10/27 10:26,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.441441 139.648505,横浜中華街朱雀門,2018/10/27 10:06,2018/10/27 10:08,2018/10/27 10:26,2018/10/27 10:31,,2018/10/27 9:59,0:21:19,0:21:19,,00,05,,,2018/10/27 9:59,2018/10/27 10:26,43400.415972222243400.4347222222,#N/A,,2018/10/27 10:00,,
-,-,10,2018/10/27 10:03,6884,まちかど設置端末（店舗から）,0,435,3,2,,2018/10/27 10:14,2018/10/27 10:27,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.441002 139.650809,横浜元町ショッピングストリート,2018/10/27 10:11,2018/10/27 10:12,2018/10/27 10:26,2018/10/27 10:27,,2018/10/27 10:03,0:12:24,0:24:48,,03,11,,,2018/10/27 10:03,2018/10/27 10:27,43400.4187543400.4354166667,#N/A,,,,
-,-,10,2018/10/27 10:03,6885,まちかど設置端末（地図から）,0,1063,5,1,,2018/10/27 10:05,2018/10/27 10:22,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.447541 139.644914,シルク博物館,2018/10/27 10:08,2018/10/27 10:08,2018/10/27 10:27,2018/10/27 10:27,,2018/10/27 10:03,0:16:57,0:16:57,,00,01,,,2018/10/27 10:03,2018/10/27 10:22,43400.4187543400.4319444444,#N/A,,,,
-,-,10,2018/10/27 10:05,6886,まちかど設置端末（店舗から）,0,1200,6,4,,2018/10/27 10:14,2018/10/27 10:21,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/27 10:13,2018/10/27 10:13,2018/10/27 10:28,2018/10/27 10:28,,2018/10/27 10:05,0:07:13,0:28:52,,00,08,,,2018/10/27 10:05,2018/10/27 10:21,43400.420138888943400.43125,#N/A,,,,
-,-,10,2018/10/27 10:06,6887,まちかど設置端末（店舗から）,0,822,4,1,,2018/10/27 10:09,2018/10/27 10:14,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/27 10:08,2018/10/27 10:11,2018/10/27 10:17,2018/10/27 10:23,,2018/10/27 10:06,0:04:30,0:04:30,,00,03,,,2018/10/27 10:06,2018/10/27 10:14,43400.420833333343400.4263888889,#N/A,,,,
-,-,10,2018/10/27 10:07,6889,まちかど設置端末（店舗から）,0,367,9,1,,2018/10/27 10:12,2018/10/27 10:23,35.448801 139.636702,ホテルルートイン横浜馬車道,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/10/27 10:12,2018/10/27 10:12,2018/10/27 10:22,2018/10/27 10:22,,2018/10/27 10:07,0:10:09,0:10:09,,00,05,,,2018/10/27 10:07,2018/10/27 10:23,43400.421527777843400.4326388889,#N/A,,,,
-,-,10,2018/10/27 10:14,6892,乗客アプリ（地図から）,4084,1257,1,2,,2018/10/27 10:21,2018/10/27 10:33,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/27 10:17,2018/10/27 10:19,2018/10/27 10:27,2018/10/27 10:32,,2018/10/27 10:14,0:12:07,0:24:14,,03,06,,,2018/10/27 10:14,2018/10/27 10:33,43400.426388888943400.4395833333,#N/A,,,,
-,-,10,2018/10/27 10:14,6893,乗客アプリ（地図から）,1338,595,1,1,,2018/10/27 10:27,2018/10/27 10:41,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443073 139.651914,横浜人形の家,2018/10/27 10:22,2018/10/27 10:25,2018/10/27 10:39,2018/10/27 10:42,,2018/10/27 10:14,0:13:31,0:13:31,,05,12,,,2018/10/27 10:14,2018/10/27 10:41,43400.426388888943400.4451388889,#N/A,,,,
-,-,10,2018/10/27 10:15,6894,まちかど設置端末（地図から）,0,872,8,1,,2018/10/27 10:18,2018/10/27 10:25,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/10/27 10:19,2018/10/27 10:19,2018/10/27 10:27,2018/10/27 10:29,,2018/10/27 10:15,0:06:32,0:06:32,,00,03,,,2018/10/27 10:15,2018/10/27 10:25,43400.427083333343400.4340277778,#N/A,,,,
-,-,10,2018/10/27 10:15,6895,乗客アプリ（目的地から）,3457,780,8,1,,2018/10/27 10:22,2018/10/27 10:27,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/27 10:26,2018/10/27 10:26,2018/10/27 10:32,2018/10/27 10:32,,2018/10/27 10:15,0:04:56,0:04:56,,00,06,,,2018/10/27 10:15,2018/10/27 10:27,43400.427083333343400.4354166667,#N/A,,,,
-,-,10,2018/10/27 10:18,6896,乗客アプリ（地図から）,1340,837,1,1,,2018/10/27 10:27,2018/10/27 10:33,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/10/27 10:24,2018/10/27 10:24,2018/10/27 10:31,2018/10/27 10:31,,2018/10/27 10:18,0:05:34,0:05:34,,02,08,,,2018/10/27 10:18,2018/10/27 10:33,43400.429166666743400.4395833333,#N/A,,,,
-,-,10,2018/10/27 10:22,6897,乗客アプリ（地図から）,4147,1184,5,3,,2018/10/27 10:29,2018/10/27 10:50,35.445857 139.647636,ホテルモントレ横浜,35.456605 139.635327,横浜ベイホテル東急,2018/10/27 10:29,2018/10/27 10:29,2018/10/27 10:47,2018/10/27 10:47,,2018/10/27 10:22,0:20:52,1:02:36,,00,07,,,2018/10/27 10:22,2018/10/27 10:50,43400.431944444443400.4513888889,#N/A,,,,
-,-,10,2018/10/27 10:25,6898,まちかど設置端末（店舗から）,0,918,6,1,,2018/10/27 10:29,2018/10/27 10:33,35.450447 139.635947,みなとみらい線　馬車道駅,35.447541 139.644914,シルク博物館,2018/10/27 10:29,2018/10/27 10:29,2018/10/27 10:34,2018/10/27 10:34,,2018/10/27 10:25,0:04:06,0:04:06,,00,03,,,2018/10/27 10:25,2018/10/27 10:33,43400.434027777843400.4395833333,#N/A,,,,
-,-,10,2018/10/27 10:26,6899,乗客アプリ（地図から）,2856,348,9,1,,2018/10/27 10:30,2018/10/27 10:43,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/10/27 10:28,2018/10/27 10:29,2018/10/27 10:37,2018/10/27 10:39,,2018/10/27 10:26,0:13:47,0:13:47,,01,03,,,2018/10/27 10:26,2018/10/27 10:43,43400.434722222243400.4465277778,#N/A,,,,
★,-,10,2018/10/27 10:29,6901,乗客アプリ（地図から）,3869,488,2,2,,2018/10/27 10:59,2018/10/27 11:13,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/10/27 10:59,2018/10/27 10:59,2018/10/27 11:15,2018/10/27 11:18,2018/10/27 10:59,2018/10/27 10:59,0:14:25,0:28:50,,00,00,,,2018/10/27 10:29,2018/10/27 11:13,43400.436805555643400.4673611111,#N/A,,,,
-,-,10,2018/10/27 10:30,6902,乗客アプリ（目的地から）,3588,1246,5,1,,2018/10/27 10:34,2018/10/27 10:45,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/10/27 10:34,2018/10/27 10:34,2018/10/27 10:49,2018/10/27 10:49,,2018/10/27 10:30,0:11:05,0:11:05,,00,04,,,2018/10/27 10:30,2018/10/27 10:45,43400.437543400.4479166667,#N/A,,,,
-,-,10,2018/10/27 10:31,6903,乗客アプリ（地図から）,2892,372,6,3,,2018/10/27 10:36,2018/10/27 10:44,35.445783 139.642958,横浜情報文化センター,35.456605 139.635327,横浜ベイホテル東急,2018/10/27 10:35,2018/10/27 10:35,2018/10/27 10:51,2018/10/27 10:51,,2018/10/27 10:31,0:07:39,0:22:57,,01,05,,,2018/10/27 10:31,2018/10/27 10:44,43400.438194444443400.4472222222,#N/A,,,,
-,-,10,2018/10/27 10:34,6904,まちかど設置端末（地図から）,0,473,9,2,,2018/10/27 10:38,2018/10/27 10:54,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/27 10:41,2018/10/27 10:41,2018/10/27 10:58,2018/10/27 10:58,,2018/10/27 10:34,0:16:26,0:32:52,,00,03,,,2018/10/27 10:34,2018/10/27 10:54,43400.440277777843400.4541666667,#N/A,,,,
-,-,10,2018/10/27 10:35,6905,まちかど設置端末（店舗から）,0,571,2,1,,2018/10/27 10:40,2018/10/27 10:45,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.456605 139.635327,横浜ベイホテル東急,2018/10/27 10:41,2018/10/27 10:41,2018/10/27 10:49,2018/10/27 10:49,,2018/10/27 10:35,0:05:09,0:05:09,,00,05,,,2018/10/27 10:35,2018/10/27 10:45,43400.440972222243400.4479166667,#N/A,,,,
-,-,10,2018/10/27 10:41,6906,まちかど設置端末（店舗から）,0,637,10,1,,2018/10/27 10:42,2018/10/27 10:46,35.447541 139.644914,シルク博物館,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/27 10:43,2018/10/27 10:43,2018/10/27 10:47,2018/10/27 10:47,,2018/10/27 10:41,0:04:19,0:04:19,,00,01,,,2018/10/27 10:41,2018/10/27 10:46,43400.445138888943400.4486111111,#N/A,,,,
-,-,10,2018/10/27 10:43,6907,まちかど設置端末（店舗から）,0,608,9,2,,2018/10/27 10:46,2018/10/27 10:54,35.45435 139.631762,横浜ロイヤルパークホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/27 10:47,2018/10/27 10:47,2018/10/27 10:59,2018/10/27 10:59,,2018/10/27 10:43,0:07:44,0:15:28,,00,03,,,2018/10/27 10:43,2018/10/27 10:54,43400.446527777843400.4541666667,#N/A,,,,
