,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,,,
★,-,10,2018/10/30 9:32,7427,乗客アプリ（地図から）,3025,615,1,1,,2018/10/30 10:26,2018/10/30 10:38,35.441441 139.648505,横浜中華街朱雀門,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/10/30 10:32,2018/10/30 10:32,2018/10/30 10:44,2018/10/30 10:44,2018/10/30 10:32,2018/10/30 10:32,0:11:20,0:11:20,386,00,00,04,04,2018/10/30 9:32,2018/10/30 10:38,43403.397222222243403.4430555556,#N/A,,,
★,-,10,2018/10/30 9:39,7428,乗客アプリ（目的地から）,3954,865,8,3,,2018/10/30 10:05,2018/10/30 10:21,35.443908 139.635249,イセザキ・モール,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/10/30 10:10,2018/10/30 10:10,2018/10/30 10:26,2018/10/30 10:26,2018/10/30 10:09,2018/10/30 10:09,0:16:17,0:48:51,,00,00,,,2018/10/30 9:39,2018/10/30 10:21,43403.402083333343403.43125,#N/A,,,
-,-,10,2018/10/30 9:39,7429,乗客アプリ（目的地から）,4343,350,1,2,,2018/10/30 10:04,2018/10/30 10:11,35.448801 139.636702,ホテルルートイン横浜馬車道,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/30 10:08,2018/10/30 10:08,2018/10/30 10:16,2018/10/30 10:16,,2018/10/30 9:39,0:07:14,0:14:28,,00,04,,,2018/10/30 9:39,2018/10/30 10:11,43403.402083333343403.4243055556,#N/A,,2018/10/30 10:00,※10時以前に予約しているため
-,-,10,2018/10/30 9:51,7430,乗客アプリ（地図から）,985,930,4,1,,2018/10/30 9:56,2018/10/30 10:08,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/10/30 10:02,2018/10/30 10:02,2018/10/30 10:16,2018/10/30 10:16,,2018/10/30 9:51,0:12:28,0:12:28,,00,04,,,2018/10/30 9:51,2018/10/30 10:08,43403.410416666743403.4222222222,#N/A,,,
-,-,10,2018/10/30 10:00,7431,まちかど設置端末（地図から）,0,671,3,1,,2018/10/30 10:05,2018/10/30 10:12,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450447 139.635947,みなとみらい線　馬車道駅,2018/10/30 10:04,2018/10/30 10:06,2018/10/30 10:12,2018/10/30 10:16,,2018/10/30 10:00,0:06:34,0:06:34,,01,04,,,2018/10/30 10:00,2018/10/30 10:12,43403.416666666743403.425,#N/A,,,
-,-,10,2018/10/30 10:01,7432,乗客アプリ（地図から）,3217,1186,3,1,,2018/10/30 10:08,2018/10/30 10:28,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/10/30 10:07,2018/10/30 10:09,2018/10/30 10:21,2018/10/30 10:30,,2018/10/30 10:01,0:20:15,0:20:15,,01,07,,,2018/10/30 10:01,2018/10/30 10:28,43403.417361111143403.4361111111,肯定的,,,
-,-,10,2018/10/30 10:02,7433,乗客アプリ（目的地から）,2225,675,3,1,,2018/10/30 10:05,2018/10/30 10:19,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/10/30 10:04,2018/10/30 10:05,2018/10/30 10:20,2018/10/30 10:21,,2018/10/30 10:02,0:13:50,0:13:50,,01,02,,,2018/10/30 10:02,2018/10/30 10:19,43403.418055555643403.4298611111,肯定的,,,
-,-,10,2018/10/30 10:03,7434,乗客アプリ（目的地から）,4256,1151,4,1,,2018/10/30 10:06,2018/10/30 10:16,35.44291 139.650404,みなとみらい線　元町・中華街駅,35.454389 139.630904,横浜ランドマークタワー,2018/10/30 10:09,2018/10/30 10:09,2018/10/30 10:26,2018/10/30 10:26,,2018/10/30 10:03,0:09:54,0:09:54,,00,03,,,2018/10/30 10:03,2018/10/30 10:16,43403.4187543403.4277777778,#N/A,,,
-,-,10,2018/10/30 10:03,7435,まちかど設置端末（地図から）,0,1146,5,3,,2018/10/30 10:11,2018/10/30 10:21,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/10/30 10:08,2018/10/30 10:14,2018/10/30 10:20,2018/10/30 10:25,,2018/10/30 10:03,0:09:19,0:27:57,,03,07,,,2018/10/30 10:03,2018/10/30 10:21,43403.4187543403.43125,#N/A,,,
-,-,10,2018/10/30 10:04,7436,乗客アプリ（目的地から）,1663,898,5,1,,2018/10/30 10:07,2018/10/30 10:29,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/10/30 10:10,2018/10/30 10:10,2018/10/30 10:33,2018/10/30 10:33,,2018/10/30 10:04,0:22:06,0:22:06,,00,02,,,2018/10/30 10:04,2018/10/30 10:29,43403.419444444443403.4368055556,#N/A,,,
