,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,日時,降車時間,合成キー,評価,計算用ダミー,
-,-,10,2018/11/1 9:29,8072,まちかど端末（店舗から）,0,335,3,2,,2018/11/1 10:13,2018/11/1 10:21,35.450681 139.632446,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/1 10:04,2018/11/1 10:04,2018/11/1 10:16,2018/11/1 10:16,,2018/11/1 9:29,0:08:37,0:17:14,387,08,12,07,08,2018/11/1 9:29,2018/11/1 10:21,43405.395138888943405.43125,#N/A,2018/11/1 10:00,※10時以前に予約しているため
-,-,10,2018/11/1 9:39,8074,乗客アプリ（目的地から）,3162,379,9,2,,2018/11/1 9:53,2018/11/1 9:53,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/1 10:11,2018/11/1 10:11,2018/11/1 10:28,2018/11/1 10:28,,2018/11/1 9:39,0:00:12,0:00:24,,00,00,,,2018/11/1 9:39,2018/11/1 9:53,43405.402083333343405.4118055556,否定的,2018/11/1 10:00,※10時以前に予約しているため
★,-,10,2018/11/1 9:41,8075,乗客アプリ（簡単予約）,2161,648,5,1,,2018/11/1 10:38,2018/11/1 10:45,35.450681 139.632446,横浜桜木町ワシントンホテル,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 10:41,2018/11/1 10:41,2018/11/1 10:50,2018/11/1 10:50,2018/11/1 10:41,2018/11/1 10:41,0:06:50,0:06:50,,00,00,,,2018/11/1 9:41,2018/11/1 10:45,43405.403472222243405.4479166667,#N/A,2018/11/1 10:00,※10時以前に予約しているため
-,-,10,2018/11/1 9:43,8076,乗客アプリ（目的地から）,4032,249,8,2,,2018/11/1 10:09,2018/11/1 10:15,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.453715 139.638133,横浜ワールドポーターズ,2018/11/1 10:01,2018/11/1 10:01,2018/11/1 10:12,2018/11/1 10:12,,2018/11/1 9:43,0:06:18,0:12:36,,08,09,,,2018/11/1 9:43,2018/11/1 10:15,43405.404861111143405.4270833333,肯定的,2018/11/1 10:00,※10時以前に予約しているため
-,-,10,2018/11/1 9:57,8077,乗客アプリ（地図から）,2435,135,8,1,,2018/11/1 10:09,2018/11/1 10:20,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/1 10:02,2018/11/1 10:02,2018/11/1 10:22,2018/11/1 10:22,,2018/11/1 9:57,0:10:55,0:10:55,,07,09,,,2018/11/1 9:57,2018/11/1 10:20,43405.414583333343405.4305555556,#N/A,2018/11/1 10:00,※10時以前に予約しているため
-,-,10,2018/11/1 10:00,8078,乗客アプリ（地図から）,2051,580,6,1,,2018/11/1 10:09,2018/11/1 10:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/1 10:02,2018/11/1 10:03,2018/11/1 10:13,2018/11/1 10:16,,2018/11/1 10:00,0:08:03,0:08:03,,07,09,,,2018/11/1 10:00,2018/11/1 10:18,43405.416666666743405.4291666667,肯定的,,
-,-,10,2018/11/1 10:01,8079,乗客アプリ（地図から）,4342,137,7,1,,2018/11/1 10:15,2018/11/1 10:23,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/1 10:13,2018/11/1 10:13,2018/11/1 10:18,2018/11/1 10:18,,2018/11/1 10:01,0:07:57,0:07:57,,02,14,,,2018/11/1 10:01,2018/11/1 10:23,43405.417361111143405.4326388889,#N/A,,
-,-,10,2018/11/1 10:01,8080,乗客アプリ（目的地から）,3162,602,9,2,,2018/11/1 10:15,2018/11/1 10:33,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/1 10:13,2018/11/1 10:15,2018/11/1 10:29,2018/11/1 10:34,,2018/11/1 10:01,0:17:43,0:35:26,,02,14,,,2018/11/1 10:01,2018/11/1 10:33,43405.417361111143405.4395833333,肯定的,,
-,-,10,2018/11/1 10:01,8081,まちかど端末（店舗から）,0,971,5,1,,2018/11/1 10:19,2018/11/1 10:28,35.443073 139.651914,横浜人形の家,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/1 10:15,2018/11/1 10:15,2018/11/1 10:28,2018/11/1 10:28,,2018/11/1 10:01,0:08:49,0:08:49,,03,17,,,2018/11/1 10:01,2018/11/1 10:28,43405.417361111143405.4361111111,#N/A,,
-,-,10,2018/11/1 10:02,8082,乗客アプリ（地図から）,4434,292,6,1,,2018/11/1 10:13,2018/11/1 10:27,35.450447 139.635947,みなとみらい線　馬車道駅,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/1 10:10,2018/11/1 10:10,2018/11/1 10:28,2018/11/1 10:28,,2018/11/1 10:02,0:14:46,0:14:46,,02,10,,,2018/11/1 10:02,2018/11/1 10:27,43405.418055555643405.4354166667,#N/A,,
