,,,日時,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
★,-,10,2018/11/3 9:30,8833,乗客アプリ（地図から）,3025,416,5,1,,2018/11/3 10:30,2018/11/3 10:52,35.441441 139.648505,横浜中華街朱雀門,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/3 10:30,2018/11/3 10:30,2018/11/3 10:42,2018/11/3 10:50,2018/11/3 10:30,2018/11/3 10:30,0:22:16,0:22:16,488,00,00,05,05,2018/11/3 9:30,2018/11/3 10:52,43407.395833333343407.4527777778,#N/A,,,,
-,-,10,2018/11/3 9:41,8837,まちかど端末（店舗から）,0,965,5,3,,2018/11/3 10:05,2018/11/3 10:10,35.450681 139.632446,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/3 10:04,2018/11/3 10:04,2018/11/3 10:15,2018/11/3 10:15,,2018/11/3 9:41,0:04:56,0:14:48,,01,05,,,2018/11/3 9:41,2018/11/3 10:10,43407.403472222243407.4236111111,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,
★,-,10,2018/11/3 9:42,8838,乗客アプリ（目的地から）,4799,470,5,1,,2018/11/3 10:38,2018/11/3 10:52,35.448676 139.635696,横浜平和プラザホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/3 10:42,2018/11/3 10:42,2018/11/3 11:02,2018/11/3 11:02,2018/11/3 10:42,2018/11/3 10:42,0:14:00,0:14:00,,00,00,,,2018/11/3 9:42,2018/11/3 10:52,43407.404166666743407.4527777778,#N/A,,,,
-,-,10,2018/11/3 9:58,8840,乗客アプリ（地図から）,1789,259,7,1,,2018/11/3 10:09,2018/11/3 10:19,35.445857 139.647636,ホテルモントレ横浜,35.454389 139.630904,横浜ランドマークタワー,2018/11/3 10:12,2018/11/3 10:12,2018/11/3 10:26,2018/11/3 10:26,,2018/11/3 9:58,0:09:32,0:09:32,,00,09,,,2018/11/3 9:58,2018/11/3 10:19,43407.415277777843407.4298611111,#N/A,,2018/11/3 10:00,※10時以前に予約しているため,
-,-,10,2018/11/3 10:06,8841,乗客アプリ（目的地から）,1162,420,10,1,,2018/11/3 10:12,2018/11/3 10:18,35.450447 139.635947,みなとみらい線　馬車道駅,35.447546 139.64358,横浜開港資料館,2018/11/3 10:11,2018/11/3 10:11,2018/11/3 10:16,2018/11/3 10:16,,2018/11/3 10:06,0:06:18,0:06:18,,00,05,,,2018/11/3 10:06,2018/11/3 10:18,43407.420833333343407.4291666667,#N/A,,,,
★,-,10,2018/11/3 10:10,8842,乗客アプリ（地図から）,3477,620,8,1,,2018/11/3 10:20,2018/11/3 10:45,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/3 10:20,2018/11/3 10:20,2018/11/3 10:34,2018/11/3 10:43,2018/11/3 10:20,2018/11/3 10:20,0:24:45,0:24:45,,00,00,,,2018/11/3 10:10,2018/11/3 10:45,43407.423611111143407.4479166667,#N/A,,,,
-,-,10,2018/11/3 10:14,8843,乗客アプリ（目的地から）,2036,57,8,1,,2018/11/3 10:20,2018/11/3 10:35,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/3 10:21,2018/11/3 10:21,2018/11/3 10:28,2018/11/3 10:36,,2018/11/3 10:14,0:15:15,0:15:15,,00,06,,,2018/11/3 10:14,2018/11/3 10:35,43407.426388888943407.4409722222,#N/A,,,,
★,-,10,2018/11/3 10:14,8844,乗客アプリ（地図から）,2576,427,6,4,,2018/11/3 10:21,2018/11/3 10:48,35.441002 139.650809,横浜元町ショッピングストリート,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/3 10:24,2018/11/3 10:24,2018/11/3 10:36,2018/11/3 10:36,2018/11/3 10:24,2018/11/3 10:24,0:27:34,1:50:16,,00,00,,,2018/11/3 10:14,2018/11/3 10:48,43407.426388888943407.45,#N/A,,,,
-,-,10,2018/11/3 10:18,8846,乗客アプリ（目的地から）,1019,174,1,1,,2018/11/3 10:24,2018/11/3 10:32,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/3 10:23,2018/11/3 10:23,2018/11/3 10:32,2018/11/3 10:32,,2018/11/3 10:18,0:07:09,0:07:09,,01,06,,,2018/11/3 10:18,2018/11/3 10:32,43407.429166666743407.4388888889,#N/A,,,,
-,-,10,2018/11/3 10:20,8847,乗客アプリ（目的地から）,4797,817,7,2,,2018/11/3 10:24,2018/11/3 10:29,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/3 10:24,2018/11/3 10:24,2018/11/3 10:32,2018/11/3 10:32,,2018/11/3 10:20,0:04:43,0:09:26,,00,04,,,2018/11/3 10:20,2018/11/3 10:29,43407.430555555643407.4368055556,#N/A,,,,
