,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,,
-,-,10,2018/11/5 9:41,052-695-STRAWBERRY 052-696-STRAWBERRY,9885,乗客アプリ（目的地から）,5100,52,2,2,,2018/11/5 10:15,2018/11/5 10:24,35.448676 139.635696,横浜平和プラザホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/5 10:08,2018/11/5 10:08,2018/11/5 10:20,2018/11/5 10:20,,2018/11/5 9:41,0:08:26,0:16:52,167,06,15,04,02,2018/11/5 9:41,2018/11/5 10:24,43409.403472222243409.4333333333,#N/A,,2018/11/5 10:00,※10時以前に予約しているため,
-,-,10,2018/11/5 9:52,063-215-BANANA,9886,まちかど端末（店舗から）,0,97,8,1,,2018/11/5 10:15,2018/11/5 10:22,35.443704 139.651332,ホテルメルパルク横浜,35.450681 139.632446,横浜桜木町ワシントンホテル,2018/11/5 10:14,2018/11/5 10:19,2018/11/5 10:25,2018/11/5 10:30,,2018/11/5 9:52,0:07:09,0:07:09,,01,15,,,2018/11/5 9:52,2018/11/5 10:22,43409.411111111143409.4319444444,#N/A,,2018/11/5 10:00,※10時以前に予約しているため,
★,-,10,2018/11/5 9:58,166-778-agekke,9887,乗客アプリ（目的地から）,2314,622,3,1,,2018/11/5 10:08,2018/11/5 10:11,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450447 139.635947,みなとみらい線　馬車道駅,2018/11/5 10:08,2018/11/5 10:08,2018/11/5 10:16,2018/11/5 10:18,2018/11/5 10:08,2018/11/5 10:08,0:03:05,0:03:05,,00,00,,,2018/11/5 9:58,2018/11/5 10:11,43409.415277777843409.4243055556,#N/A,,2018/11/5 10:00,※10時以前に予約しているため,
★,-,10,2018/11/5 10:01,166-780-agekke,9888,乗客アプリ（地図から）,2306,140,3,1,,2018/11/5 10:08,2018/11/5 10:20,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 10:11,2018/11/5 10:11,2018/11/5 10:25,2018/11/5 10:25,2018/11/5 10:11,2018/11/5 10:11,0:11:32,0:11:32,,00,00,,,2018/11/5 10:01,2018/11/5 10:20,43409.417361111143409.4305555556,肯定的,,,,
-,-,10,2018/11/5 10:04,166-774-agekke,9889,乗客アプリ（地図から）,2171,651,6,1,,2018/11/5 10:08,2018/11/5 10:28,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/5 10:06,2018/11/5 10:07,2018/11/5 10:21,2018/11/5 10:29,,2018/11/5 10:04,0:19:58,0:19:58,,01,03,,,2018/11/5 10:04,2018/11/5 10:28,43409.419444444443409.4361111111,#N/A,,,,
★,-,10,2018/11/5 10:05,064-224-BANANA 064-223-BANANA,9891,まちかど端末（乗降ポイントから）,0,299,6,2,,2018/11/5 10:15,2018/11/5 10:22,35.448801 139.636702,ホテルルートイン横浜馬車道,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/5 10:15,2018/11/5 10:15,2018/11/5 10:23,2018/11/5 10:23,2018/11/5 10:15,2018/11/5 10:15,0:07:10,0:14:20,,00,00,,,2018/11/5 10:05,2018/11/5 10:22,43409.420138888943409.4319444444,#N/A,,,,
-,-,10,2018/11/5 10:06,063-395-BANANA 063-394-BANANA 063-393-BANANA 073-634-ORANGE,9892,まちかど端末（店舗から）,0,57,4,4,,2018/11/5 10:15,2018/11/5 10:25,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.454389 139.630904,横浜ランドマークタワー,2018/11/5 10:18,2018/11/5 10:18,2018/11/5 10:35,2018/11/5 10:35,,2018/11/5 10:06,0:10:36,0:42:24,,00,08,,,2018/11/5 10:06,2018/11/5 10:25,43409.420833333343409.4340277778,肯定的,,,,
-,-,10,2018/11/5 10:09,028-675-GREEN,9897,乗客アプリ（目的地から）,1312,738,5,1,,2018/11/5 10:12,2018/11/5 10:18,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/5 10:14,2018/11/5 10:14,2018/11/5 10:22,2018/11/5 10:22,,2018/11/5 10:09,0:05:24,0:05:24,,00,03,,,2018/11/5 10:09,2018/11/5 10:18,43409.422916666743409.4291666667,#N/A,,,,
-,-,10,2018/11/5 10:12,166-765-agekke,9898,乗客アプリ（目的地から）,1888,285,10,1,,2018/11/5 10:16,2018/11/5 10:21,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/5 10:15,2018/11/5 10:15,2018/11/5 10:21,2018/11/5 10:21,,2018/11/5 10:12,0:05:12,0:05:12,,01,03,,,2018/11/5 10:12,2018/11/5 10:21,43409.42543409.43125,#N/A,,,,
-,-,10,2018/11/5 10:20,166-762-agekke,9902,乗客アプリ（地図から）,1885,318,1,1,,2018/11/5 10:26,2018/11/5 10:36,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/5 10:26,2018/11/5 10:26,2018/11/5 10:37,2018/11/5 10:37,,2018/11/5 10:20,0:10:02,0:10:02,,00,05,,,2018/11/5 10:20,2018/11/5 10:36,43409.430555555643409.4416666667,肯定的,,,,
