,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,,
★,-,10,2018/11/7 9:30,074-142-ORANGE 074-195-ORANGE 066-863-BANANA 074-143-ORANGE 074-140-ORANGE,10569,まちかど端末（店舗から）,0,768,4,5,,2018/11/7 10:01,2018/11/7 10:07,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454389 139.630904,横浜ランドマークタワー,2018/11/7 10:06,2018/11/7 10:08,2018/11/7 10:20,2018/11/7 10:22,2018/11/7 9:38,2018/11/7 9:38,0:06:00,0:30:00,496,00,01,04,04,2018/11/7 9:30,2018/11/7 10:07,43411.395833333343411.4215277778,#N/A,,2018/11/7 10:00,※10時以前に予約しているため
★,-,10,2018/11/7 9:32,074-144-ORANGE 075-116-ORANGE,10570,まちかど端末（店舗から）,0,438,8,2,,2018/11/7 10:02,2018/11/7 10:06,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443908 139.635249,イセザキ・モール,2018/11/7 10:06,2018/11/7 10:06,2018/11/7 10:12,2018/11/7 10:12,2018/11/7 9:41,2018/11/7 9:41,0:03:49,0:07:38,,00,02,,,2018/11/7 9:32,2018/11/7 10:06,43411.397222222243411.4208333333,#N/A,,2018/11/7 10:00,※10時以前に予約しているため
★,-,10,2018/11/7 9:38,067-306-BANANA,10571,乗客アプリ（簡単予約）,2475,570,4,1,,2018/11/7 10:36,2018/11/7 10:42,35.450681 139.632446,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/7 10:38,2018/11/7 10:38,2018/11/7 10:47,2018/11/7 10:47,2018/11/7 10:38,2018/11/7 10:38,0:05:52,0:05:52,,00,00,,,2018/11/7 9:38,2018/11/7 10:42,43411.401388888943411.4458333333,#N/A,,2018/11/7 10:00,※10時以前に予約しているため
★,-,10,2018/11/7 9:45,111-230-SUN,10572,乗客アプリ（地図から）,5348,859,1,1,,2018/11/7 10:05,2018/11/7 10:12,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/7 10:06,2018/11/7 10:06,2018/11/7 10:13,2018/11/7 10:19,2018/11/7 9:55,2018/11/7 9:55,0:07:01,0:07:01,,00,05,,,2018/11/7 9:45,2018/11/7 10:12,43411.4062543411.425,否定的,,2018/11/7 10:00,※10時以前に予約しているため
★,-,10,2018/11/7 9:47,112-405-SUN,10573,乗客アプリ（地図から）,4073,187,5,1,,2018/11/7 9:58,2018/11/7 10:03,35.450681 139.632446,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/11/7 10:05,2018/11/7 10:05,2018/11/7 10:13,2018/11/7 10:13,2018/11/7 9:57,2018/11/7 9:57,0:05:05,0:05:05,,00,00,,,2018/11/7 9:47,2018/11/7 10:03,43411.407638888943411.41875,#N/A,,2018/11/7 10:00,※10時以前に予約しているため
-,-,10,2018/11/7 9:57,020-864-GREEN 020-896-GREEN 020-866-GREEN 020-903-GREEN,10574,乗客アプリ（目的地から）,5326,83,10,4,,2018/11/7 10:04,2018/11/7 10:11,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.453715 139.638133,横浜ワールドポーターズ,2018/11/7 10:02,2018/11/7 10:02,2018/11/7 10:14,2018/11/7 10:14,,2018/11/7 9:57,0:07:54,0:31:36,,01,04,,,2018/11/7 9:57,2018/11/7 10:11,43411.414583333343411.4243055556,#N/A,,2018/11/7 10:00,※10時以前に予約しているため
★,-,10,2018/11/7 10:02,111-590-SUN,10576,乗客アプリ（地図から）,5369,747,1,1,,2018/11/7 10:05,2018/11/7 10:12,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/7 10:12,2018/11/7 10:12,2018/11/7 10:19,2018/11/7 10:19,2018/11/7 10:12,2018/11/7 10:12,0:06:28,0:06:28,,00,00,,,2018/11/7 10:02,2018/11/7 10:12,43411.418055555643411.425,肯定的,,,
★,-,10,2018/11/7 10:02,017-667-RED 017-715-RED,10577,乗客アプリ（簡単予約）,3620,874,2,2,,2018/11/7 10:14,2018/11/7 10:23,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443908 139.635249,イセザキ・モール,2018/11/7 10:12,2018/11/7 10:16,2018/11/7 10:26,2018/11/7 10:31,2018/11/7 10:12,2018/11/7 10:12,0:09:44,0:19:28,,01,01,,,2018/11/7 10:02,2018/11/7 10:23,43411.418055555643411.4326388889,#N/A,,,
-,-,10,2018/11/7 10:03,166-646-agekke,10578,乗客アプリ（目的地から）,3945,585,7,1,,2018/11/7 10:15,2018/11/7 10:23,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/7 10:13,2018/11/7 10:13,2018/11/7 10:26,2018/11/7 10:26,,2018/11/7 10:03,0:08:13,0:08:13,,01,11,,,2018/11/7 10:03,2018/11/7 10:23,43411.4187543411.4326388889,#N/A,,,
-,-,10,2018/11/7 10:05,022-886-GREEN,10579,乗客アプリ（目的地から）,3457,432,9,1,,2018/11/7 10:11,2018/11/7 10:15,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/7 10:09,2018/11/7 10:09,2018/11/7 10:15,2018/11/7 10:15,,2018/11/7 10:05,0:04:14,0:04:14,,02,06,,,2018/11/7 10:05,2018/11/7 10:15,43411.420138888943411.4270833333,#N/A,,,
★,-,10,2018/11/7 10:05,071-160-ORANGE,10580,乗客アプリ（目的地から）,5167,448,8,1,,2018/11/7 10:11,2018/11/7 10:16,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443908 139.635249,イセザキ・モール,2018/11/7 10:15,2018/11/7 10:15,2018/11/7 10:23,2018/11/7 10:23,2018/11/7 10:15,2018/11/7 10:15,0:05:45,0:05:45,,00,00,,,2018/11/7 10:05,2018/11/7 10:16,43411.420138888943411.4277777778,肯定的,,,
-,-,10,2018/11/7 10:06,072-531-ORANGE 072-530-ORANGE,10581,まちかど端末（乗降ポイントから）,0,447,5,2,,2018/11/7 10:14,2018/11/7 10:22,35.448801 139.636702,ホテルルートイン横浜馬車道,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/7 10:10,2018/11/7 10:12,2018/11/7 10:23,2018/11/7 10:25,,2018/11/7 10:06,0:08:15,0:16:30,,03,07,,,2018/11/7 10:06,2018/11/7 10:22,43411.420833333343411.4319444444,#N/A,,,
-,-,10,2018/11/7 10:07,007-588-BLUE,10582,乗客アプリ（目的地から）,1358,801,4,1,,2018/11/7 10:12,2018/11/7 10:17,35.450681 139.632446,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/7 10:13,2018/11/7 10:13,2018/11/7 10:22,2018/11/7 10:22,,2018/11/7 10:07,0:05:05,0:05:05,,00,05,,,2018/11/7 10:07,2018/11/7 10:17,43411.421527777843411.4284722222,#N/A,,,
-,-,10,2018/11/7 10:12,114-180-SUN,10584,乗客アプリ（地図から）,1677,657,10,1,,2018/11/7 10:17,2018/11/7 10:20,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/7 10:20,2018/11/7 10:20,2018/11/7 10:26,2018/11/7 10:26,,2018/11/7 10:12,0:03:41,0:03:41,,00,05,,,2018/11/7 10:12,2018/11/7 10:20,43411.42543411.4305555556,#N/A,,,
-,-,10,2018/11/7 10:15,166-662-agekke,10586,まちかど端末（乗降ポイントから）,0,89,1,1,,2018/11/7 10:23,2018/11/7 10:57,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/7 10:20,2018/11/7 10:20,2018/11/7 10:35,2018/11/7 10:35,,2018/11/7 10:15,0:34:05,0:34:05,,02,07,,,2018/11/7 10:15,2018/11/7 10:57,43411.427083333343411.45625,#N/A,,,
-,-,10,2018/11/7 10:16,111-230-SUN,10588,乗客アプリ（地図から）,5348,11,9,1,,2018/11/7 10:17,2018/11/7 10:25,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/7 10:18,2018/11/7 10:18,2018/11/7 10:28,2018/11/7 10:28,,2018/11/7 10:16,0:07:55,0:07:55,,00,01,,,2018/11/7 10:16,2018/11/7 10:25,43411.427777777843411.4340277778,肯定的,,,
-,-,10,2018/11/7 10:18,111-590-SUN,10589,乗客アプリ（地図から）,5369,621,10,1,,2018/11/7 10:22,2018/11/7 10:27,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.443659 139.650847,横浜マリンタワー,2018/11/7 10:23,2018/11/7 10:23,2018/11/7 10:32,2018/11/7 10:32,,2018/11/7 10:18,0:04:58,0:04:58,,00,03,,,2018/11/7 10:18,2018/11/7 10:27,43411.429166666743411.4354166667,#N/A,,,
