,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車,合成キー,評価,,計算用ダミー,
-,-,10,2018/11/8 9:44,019-479-RED,10929,乗客アプリ（目的地から）,5477,765,2,1,,2018/11/8 10:15,2018/11/8 10:20,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/8 10:08,2018/11/8 10:14,2018/11/8 10:16,2018/11/8 10:23,,2018/11/8 9:44,0:05:46,0:05:46,286,06,15,08,05,2018/11/8 9:44,2018/11/8 10:20,43412.405555555643412.4305555556,#N/A,,2018/11/8 10:00,※10時以前に予約しているため
-,-,10,2018/11/8 9:49,070-850-ORANGE 064-525-BANANA,10930,まちかど端末（店舗から）,0,834,8,2,,2018/11/8 10:13,2018/11/8 10:18,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/8 10:05,2018/11/8 10:08,2018/11/8 10:15,2018/11/8 10:18,,2018/11/8 9:49,0:04:31,0:09:02,,07,13,,,2018/11/8 9:49,2018/11/8 10:18,43412.409027777843412.4291666667,#N/A,,2018/11/8 10:00,※10時以前に予約しているため
★,-,10,2018/11/8 9:54,051-682-STRAWBERRY 063-892-BANANA 051-681-STRAWBERRY 051-680-STRAWBERRY 063-891-BANANA,10931,まちかど端末（店舗から）,0,52,10,5,,2018/11/8 10:12,2018/11/8 10:19,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/8 10:05,2018/11/8 10:11,2018/11/8 10:18,2018/11/8 10:24,2018/11/8 10:03,2018/11/8 10:03,0:06:46,0:33:50,,07,09,,,2018/11/8 9:54,2018/11/8 10:19,43412.412543412.4298611111,時刻かぶり,,,
-,-,10,2018/11/8 9:54,063-226-BANANA 063-227-BANANA,10932,乗客アプリ（目的地から）,5222,397,11,2,,2018/11/8 10:15,2018/11/8 10:19,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/8 10:11,2018/11/8 10:11,2018/11/8 10:18,2018/11/8 10:18,,2018/11/8 9:54,0:04:15,0:08:30,,03,15,,,2018/11/8 9:54,2018/11/8 10:19,43412.412543412.4298611111,肯定的,,2018/11/8 10:00,※10時以前に予約しているため
★,-,10,2018/11/8 10:03,114-410-SUN 107-262-SNOW,10933,まちかど端末（乗降ポイントから）,0,857,8,2,,2018/11/8 10:25,2018/11/8 10:31,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.441441 139.648505,横浜中華街朱雀門,2018/11/8 10:24,2018/11/8 10:24,2018/11/8 10:32,2018/11/8 10:32,2018/11/8 10:12,2018/11/8 10:12,0:06:07,0:12:14,,00,13,,,2018/11/8 10:03,2018/11/8 10:31,43412.4187543412.4381944444,#N/A,,,
-,-,10,2018/11/8 10:09,063-883-BANANA 063-886-BANANA,10936,乗客アプリ（目的地から）,5476,154,10,2,,2018/11/8 10:19,2018/11/8 10:27,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/8 10:24,2018/11/8 10:24,2018/11/8 10:36,2018/11/8 10:36,,2018/11/8 10:09,0:07:53,0:15:46,,00,10,,,2018/11/8 10:09,2018/11/8 10:27,43412.422916666743412.4354166667,否定的,,,
-,-,10,2018/11/8 10:19,025-807-GREEN,10940,まちかど端末（乗降ポイントから）,0,453,11,1,,2018/11/8 10:19,2018/11/8 10:33,35.441002 139.650809,横浜元町ショッピングストリート,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/8 10:20,2018/11/8 10:20,2018/11/8 10:39,2018/11/8 10:39,,2018/11/8 10:19,0:14:02,0:14:02,,00,00,,,2018/11/8 10:19,2018/11/8 10:33,43412.429861111143412.4395833333,#N/A,,,
-,-,10,2018/11/8 10:20,021-341-GREEN,10943,乗客アプリ（地図から）,2137,655,2,1,,2018/11/8 10:27,2018/11/8 10:33,35.45435 139.631762,横浜ロイヤルパークホテル,35.443908 139.635249,イセザキ・モール,2018/11/8 10:27,2018/11/8 10:27,2018/11/8 10:36,2018/11/8 10:36,,2018/11/8 10:20,0:06:45,0:06:45,,00,06,,,2018/11/8 10:20,2018/11/8 10:33,43412.430555555643412.4395833333,#N/A,,,
-,-,10,2018/11/8 10:25,007-563-BLUE,10944,乗客アプリ（目的地から）,1358,128,1,1,,2018/11/8 10:33,2018/11/8 10:38,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/8 10:30,2018/11/8 10:30,2018/11/8 10:39,2018/11/8 10:39,,2018/11/8 10:25,0:05:30,0:05:30,,02,08,,,2018/11/8 10:25,2018/11/8 10:38,43412.434027777843412.4430555556,#N/A,,,
-,-,10,2018/11/8 10:29,111-158-SUN,10945,乗客アプリ（地図から）,3598,203,8,1,,2018/11/8 10:35,2018/11/8 10:42,35.445857 139.647636,ホテルモントレ横浜,35.443908 139.635249,イセザキ・モール,2018/11/8 10:36,2018/11/8 10:36,2018/11/8 10:43,2018/11/8 10:43,,2018/11/8 10:29,0:07:21,0:07:21,,00,05,,,2018/11/8 10:29,2018/11/8 10:42,43412.436805555643412.4458333333,#N/A,,,
