,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,,
★,-,10,2018/11/9 9:10,065-366-BANANA 072-162-ORANGE,11355,まちかど端末（乗降ポイントから）,0,453,5,2,,2018/11/9 10:12,2018/11/9 10:16,35.456605 139.635327,横浜ベイホテル東急,35.453715 139.638133,横浜ワールドポーターズ,2018/11/9 10:08,2018/11/9 10:08,2018/11/9 10:16,2018/11/9 10:16,2018/11/9 10:08,2018/11/9 10:08,0:04:02,0:08:04,358,03,03,05,04,2018/11/9 9:10,2018/11/9 10:16,43413.381944444443413.4277777778,#N/A,,,,
-,-,10,2018/11/9 9:54,104-150-SNOW 104-151-SNOW,11360,乗客アプリ（地図から）,5488,637,2,2,,2018/11/9 10:02,2018/11/9 10:06,35.45435 139.631762,横浜ロイヤルパークホテル,35.453715 139.638133,横浜ワールドポーターズ,2018/11/9 10:04,2018/11/9 10:04,2018/11/9 10:13,2018/11/9 10:13,,2018/11/9 9:54,0:04:18,0:08:36,,00,02,,,2018/11/9 9:54,2018/11/9 10:06,43413.412543413.4208333333,#N/A,,2018/11/9 10:00,※10時以前に予約しているため,
-,-,10,2018/11/9 10:01,010-849-RED,11362,乗客アプリ（簡単予約）,4079,941,8,1,,2018/11/9 10:10,2018/11/9 10:40,35.441002 139.650809,横浜元町ショッピングストリート,35.456605 139.635327,横浜ベイホテル東急,2018/11/9 10:13,2018/11/9 10:13,2018/11/9 10:31,2018/11/9 10:33,,2018/11/9 10:01,0:29:21,0:29:21,,00,09,,,2018/11/9 10:01,2018/11/9 10:40,43413.417361111143413.4444444444,#N/A,,,,
-,-,10,2018/11/9 10:02,063-226-BANANA 063-227-BANANA,11364,乗客アプリ（地図から）,5222,397,7,2,,2018/11/9 10:16,2018/11/9 10:20,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.443908 139.635249,イセザキ・モール,2018/11/9 10:14,2018/11/9 10:14,2018/11/9 10:20,2018/11/9 10:20,,2018/11/9 10:02,0:03:53,0:07:46,,01,13,,,2018/11/9 10:02,2018/11/9 10:20,43413.418055555643413.4305555556,#N/A,,,,
-,-,10,2018/11/9 10:03,166-649-agekke,11366,乗客アプリ（目的地から）,2225,888,11,1,,2018/11/9 10:10,2018/11/9 10:29,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 10:12,2018/11/9 10:12,2018/11/9 10:26,2018/11/9 10:32,,2018/11/9 10:03,0:18:19,0:18:19,,00,07,,,2018/11/9 10:03,2018/11/9 10:29,43413.4187543413.4368055556,肯定的,,,,
-,-,10,2018/11/9 10:04,104-722-SNOW,11367,乗客アプリ（簡単予約）,5579,707,10,1,,2018/11/9 10:12,2018/11/9 10:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 10:10,2018/11/9 10:11,2018/11/9 10:20,2018/11/9 10:23,,2018/11/9 10:04,0:08:50,0:08:50,,01,07,,,2018/11/9 10:04,2018/11/9 10:21,43413.419444444443413.43125,肯定的,,,,
-,-,10,2018/11/9 10:05,167-435-CAKE,11368,乗客アプリWeb（簡単予約）,5581,866,10,4,,2018/11/9 10:12,2018/11/9 10:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 10:11,2018/11/9 10:11,2018/11/9 10:24,2018/11/9 10:25,,2018/11/9 10:05,0:08:51,0:35:24,,00,06,,,2018/11/9 10:05,2018/11/9 10:21,43413.420138888943413.43125,#N/A,,,,
-,-,10,2018/11/9 10:06,166-757-agekke,11369,乗客アプリ（地図から）,1885,977,2,1,,2018/11/9 10:13,2018/11/9 10:23,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/9 10:13,2018/11/9 10:13,2018/11/9 10:24,2018/11/9 10:24,,2018/11/9 10:06,0:10:10,0:10:10,,00,06,,,2018/11/9 10:06,2018/11/9 10:23,43413.420833333343413.4326388889,肯定的,,,,
-,-,10,2018/11/9 10:07,166-657-agekke,11370,乗客アプリ（地図から）,5522,187,11,1,,2018/11/9 10:10,2018/11/9 10:21,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/9 10:12,2018/11/9 10:12,2018/11/9 10:26,2018/11/9 10:26,,2018/11/9 10:07,0:10:16,0:10:16,,00,03,,,2018/11/9 10:07,2018/11/9 10:21,43413.421527777843413.43125,#N/A,,,,
-,-,10,2018/11/9 10:07,167-436-CAKE,11371,乗客アプリWeb（目的地から）,1220,32,10,1,,2018/11/9 10:12,2018/11/9 10:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/9 10:13,2018/11/9 10:13,2018/11/9 10:23,2018/11/9 10:23,,2018/11/9 10:07,0:08:20,0:08:20,,00,05,,,2018/11/9 10:07,2018/11/9 10:21,43413.421527777843413.43125,#N/A,,,,
-,-,10,2018/11/9 10:07,063-078-BANANA,11372,乗客アプリ（地図から）,5046,481,8,1,,2018/11/9 10:14,2018/11/9 10:31,35.441441 139.648505,横浜中華街朱雀門,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/9 10:15,2018/11/9 10:15,2018/11/9 10:27,2018/11/9 10:33,,2018/11/9 10:07,0:17:00,0:17:00,,00,07,,,2018/11/9 10:07,2018/11/9 10:31,43413.421527777843413.4381944444,#N/A,,,,
-,-,10,2018/11/9 10:09,166-647-agekke,11373,乗客アプリ（地図から）,1888,532,1,1,,2018/11/9 10:14,2018/11/9 10:23,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.44291 139.650404,みなとみらい線　元町・中華街駅,2018/11/9 10:11,2018/11/9 10:11,2018/11/9 10:26,2018/11/9 10:26,,2018/11/9 10:09,0:08:44,0:08:44,,02,04,,,2018/11/9 10:09,2018/11/9 10:23,43413.422916666743413.4326388889,#N/A,,,,
★,-,10,2018/11/9 10:11,110-767-SUN,11374,乗客アプリ（地図から）,5506,469,8,1,,2018/11/9 10:20,2018/11/9 10:40,35.441441 139.648505,横浜中華街朱雀門,35.456605 139.635327,横浜ベイホテル東急,2018/11/9 10:21,2018/11/9 10:21,2018/11/9 10:39,2018/11/9 10:44,2018/11/9 10:21,2018/11/9 10:21,0:19:32,0:19:32,,00,00,,,2018/11/9 10:11,2018/11/9 10:40,43413.424305555643413.4444444444,#N/A,,,,
-,-,10,2018/11/9 10:12,022-885-GREEN,11375,乗客アプリ（地図から）,3457,971,9,1,,2018/11/9 10:13,2018/11/9 10:16,35.450447 139.635947,みなとみらい線　馬車道駅,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/9 10:13,2018/11/9 10:13,2018/11/9 10:20,2018/11/9 10:20,,2018/11/9 10:12,0:03:00,0:03:00,,00,01,,,2018/11/9 10:12,2018/11/9 10:16,43413.42543413.4277777778,#N/A,,,,
★,-,10,2018/11/9 10:16,063-883-BANANA 063-886-BANANA,11376,乗客アプリ（目的地から）,5476,731,8,2,,2018/11/9 10:23,2018/11/9 10:31,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/9 10:26,2018/11/9 10:26,2018/11/9 10:38,2018/11/9 10:38,2018/11/9 10:26,2018/11/9 10:26,0:08:45,0:17:30,,00,00,,,2018/11/9 10:16,2018/11/9 10:31,43413.427777777843413.4381944444,#N/A,,,,
-,-,10,2018/11/9 10:17,062-851-BANANA 064-691-BANANA 064-690-BANANA,11377,乗客アプリ（目的地から）,5585,765,6,3,,2018/11/9 10:26,2018/11/9 10:34,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/9 10:21,2018/11/9 10:21,2018/11/9 10:34,2018/11/9 10:34,,2018/11/9 10:17,0:07:22,0:22:06,,05,09,,,2018/11/9 10:17,2018/11/9 10:34,43413.428472222243413.4402777778,肯定的,,,,
-,-,10,2018/11/9 10:17,018-457-RED,11378,まちかど端末（店舗から）,0,465,9,1,,2018/11/9 10:20,2018/11/9 10:24,35.454211 139.642721,MARINE & WALK YOKOHAMA,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 10:21,2018/11/9 10:21,2018/11/9 10:31,2018/11/9 10:31,,2018/11/9 10:17,0:04:04,0:04:04,,00,03,,,2018/11/9 10:17,2018/11/9 10:24,43413.428472222243413.4333333333,#N/A,,,,
-,-,10,2018/11/9 10:19,166-641-agekke,11379,まちかど端末（乗降ポイントから）,0,590,3,1,,2018/11/9 10:29,2018/11/9 10:35,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/9 10:29,2018/11/9 10:29,2018/11/9 10:37,2018/11/9 10:37,,2018/11/9 10:19,0:06:27,0:06:27,,00,09,,,2018/11/9 10:19,2018/11/9 10:35,43413.429861111143413.4409722222,#N/A,,,,
-,-,10,2018/11/9 10:26,070-849-ORANGE 070-851-ORANGE,11382,まちかど端末（乗降ポイントから）,0,330,9,2,,2018/11/9 10:30,2018/11/9 10:43,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 10:28,2018/11/9 10:28,2018/11/9 10:39,2018/11/9 10:39,,2018/11/9 10:26,0:13:03,0:26:06,,02,04,,,2018/11/9 10:26,2018/11/9 10:43,43413.434722222243413.4465277778,#N/A,,,,
★,-,10,2018/11/9 10:30,109-638-SNOW,11384,乗客アプリ（地図から）,5567,40,7,1,,2018/11/9 10:39,2018/11/9 10:45,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/9 10:40,2018/11/9 10:40,2018/11/9 10:49,2018/11/9 10:49,2018/11/9 10:40,2018/11/9 10:40,0:05:59,0:05:59,,00,00,,,2018/11/9 10:30,2018/11/9 10:45,43413.437543413.4479166667,肯定的,,,,
-,-,10,2018/11/9 10:33,025-747-GREEN,11386,乗客アプリ（目的地から）,1312,103,4,1,,2018/11/9 10:35,2018/11/9 10:42,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/9 10:35,2018/11/9 10:35,2018/11/9 10:44,2018/11/9 10:44,,2018/11/9 10:33,0:07:49,0:07:49,,00,02,,,2018/11/9 10:33,2018/11/9 10:42,43413.439583333343413.4458333333,肯定的,,,,
-,-,10,2018/11/9 10:36,063-417-BANANA 063-420-BANANA 064-412-BANANA 063-418-BANANA 063-416-BANANA 063-419-BANANA,11388,まちかど端末（店舗から）,0,613,10,6,,2018/11/9 10:41,2018/11/9 10:46,35.445857 139.647636,ホテルモントレ横浜,35.453715 139.638133,横浜ワールドポーターズ,2018/11/9 10:38,2018/11/9 10:38,2018/11/9 10:52,2018/11/9 10:52,,2018/11/9 10:36,0:05:02,0:30:12,,03,05,,,2018/11/9 10:36,2018/11/9 10:46,43413.441666666743413.4486111111,#N/A,,,,
-,-,10,2018/11/9 10:37,114-130-SUN,11389,乗客アプリ（地図から）,4777,528,2,1,,2018/11/9 10:38,2018/11/9 10:44,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/9 10:39,2018/11/9 10:39,2018/11/9 10:48,2018/11/9 10:48,,2018/11/9 10:37,0:06:02,0:06:02,,00,01,,,2018/11/9 10:37,2018/11/9 10:44,43413.442361111143413.4472222222,#N/A,,,,
-,-,10,2018/11/9 10:51,023-744-GREEN 023-739-GREEN,11394,乗客アプリ（地図から）,4380,476,5,2,,2018/11/9 10:56,2018/11/9 11:08,35.443908 139.635249,イセザキ・モール,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/9 10:56,2018/11/9 10:56,2018/11/9 11:10,2018/11/9 11:10,,2018/11/9 10:51,0:12:20,0:24:40,,00,04,,,2018/11/9 10:51,2018/11/9 11:08,43413.452083333343413.4638888889,#N/A,,,,
-,-,10,2018/11/9 10:56,019-790-RED,11396,まちかど端末（乗降ポイントから）,0,659,8,1,,2018/11/9 11:03,2018/11/9 11:08,35.454389 139.630904,横浜ランドマークタワー,35.445783 139.642958,横浜情報文化センター,2018/11/9 11:00,2018/11/9 11:00,2018/11/9 11:10,2018/11/9 11:10,,2018/11/9 10:56,0:05:22,0:05:22,,02,07,,,2018/11/9 10:56,2018/11/9 11:08,43413.455555555643413.4638888889,肯定的,,,,
-,-,10,2018/11/9 10:58,111-712-SUN,11397,まちかど端末（店舗から）,0,565,3,1,,2018/11/9 11:05,2018/11/9 11:14,35.450447 139.635947,みなとみらい線　馬車道駅,35.441441 139.648505,横浜中華街朱雀門,2018/11/9 11:04,2018/11/9 11:04,2018/11/9 11:12,2018/11/9 11:12,,2018/11/9 10:58,0:08:43,0:08:43,,00,06,,,2018/11/9 10:58,2018/11/9 11:14,43413.456944444443413.4680555556,#N/A,,,,
-,☆,10,2018/11/9 9:23,115-138-SUN,11356,乗客アプリ（地図から）,3500,908,2,1,2018/11/9 9:23,,,35.456605 139.635327,横浜ベイホテル東急,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/9 10:05,,2018/11/9 10:16,,,2018/11/9 9:23,0:00:00,0:00:00,,00,00,,,2018/11/9 9:23,1900/1/0 0:00,43413.39097222220,#N/A,,2018/11/9 10:00,※10時以前に予約しているため,
★,☆,10,2018/11/9 9:31,062-713-BANANA 062-712-BANANA,11357,まちかど端末（店舗から）,0,812,2,2,2018/11/9 9:31,,,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/9 10:11,,2018/11/9 10:23,,2018/11/9 9:40,2018/11/9 9:40,0:00:00,0:00:00,,00,00,,,2018/11/9 9:31,1900/1/0 0:00,43413.39652777780,#N/A,,2018/11/9 10:00,※10時以前に予約しているため,
