,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,,
★,-,10,2018/11/11 9:01,112-719-SUN 112-668-SUN,12371,乗客アプリ（目的地から）,5709,688,3,2,,2018/11/11 10:07,2018/11/11 10:12,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/11 10:01,2018/11/11 10:01,2018/11/11 10:08,2018/11/11 10:08,2018/11/11 10:01,2018/11/11 10:01,0:04:57,0:09:54,498,06,06,04,03,2018/11/11 9:01,2018/11/11 10:12,43415.375694444443415.425,肯定的,,,
★,-,10,2018/11/11 9:27,019-531-RED 019-619-RED,12372,乗客アプリ（簡単予約）,3203,698,3,2,,2018/11/11 10:28,2018/11/11 10:36,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/11 10:27,2018/11/11 10:27,2018/11/11 10:37,2018/11/11 10:37,2018/11/11 10:27,2018/11/11 10:27,0:07:52,0:15:44,,01,01,,,2018/11/11 9:27,2018/11/11 10:36,43415.3937543415.4416666667,肯定的,,,
-,-,10,2018/11/11 9:28,068-501-BANANA 063-005-BANANA 068-500-BANANA 068-499-BANANA 062-659-BANANA 063-006-BANANA,12373,乗客アプリ（目的地から）,5854,738,8,6,,2018/11/11 10:01,2018/11/11 10:09,35.450554 139.632616,横浜桜木町ワシントンホテル,35.455715 139.638114,横浜みなとみらい万葉倶楽部,2018/11/11 10:04,2018/11/11 10:04,2018/11/11 10:19,2018/11/11 10:19,,2018/11/11 9:28,0:08:12,0:49:12,,00,01,,,2018/11/11 9:28,2018/11/11 10:09,43415.394444444443415.4229166667,肯定的,,2018/11/11 10:00,※10時以前に予約しているため
★,-,10,2018/11/11 9:35,019-346-RED 019-350-RED 019-347-RED 019-349-RED 019-348-RED,12374,乗客アプリ（簡単予約）,5067,11,10,5,,2018/11/11 10:31,2018/11/11 10:36,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/11 10:35,2018/11/11 10:35,2018/11/11 10:48,2018/11/11 10:48,2018/11/11 10:35,2018/11/11 10:35,0:05:17,0:26:25,,00,00,,,2018/11/11 9:35,2018/11/11 10:36,43415.399305555643415.4416666667,#N/A,,,
-,-,10,2018/11/11 9:49,050-998-STRAWBERRY 050-992-STRAWBERRY 050-990-STRAWBERRY 050-991-STRAWBERRY,12375,乗客アプリ（地図から）,5831,609,1,4,,2018/11/11 10:11,2018/11/11 10:19,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/11 10:12,2018/11/11 10:12,2018/11/11 10:26,2018/11/11 10:26,,2018/11/11 9:49,0:08:15,0:33:00,,00,11,,,2018/11/11 9:49,2018/11/11 10:19,43415.409027777843415.4298611111,肯定的,,2018/11/11 10:00,※10時以前に予約しているため
★,-,10,2018/11/11 9:57,056-496-STRAWBERRY,12376,乗客アプリ（地図から）,5844,470,5,1,,2018/11/11 10:03,2018/11/11 10:12,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/11/11 10:07,2018/11/11 10:07,2018/11/11 10:22,2018/11/11 10:22,2018/11/11 10:07,2018/11/11 10:07,0:09:11,0:09:11,,00,00,,,2018/11/11 9:57,2018/11/11 10:12,43415.414583333343415.425,#N/A,,,
-,-,10,2018/11/11 10:02,026-301-GREEN,12377,まちかど端末（店舗から）,0,414,7,1,,2018/11/11 10:05,2018/11/11 10:13,35.454389 139.630904,横浜ランドマークタワー,35.443908 139.635249,イセザキ・モール,2018/11/11 10:03,2018/11/11 10:03,2018/11/11 10:13,2018/11/11 10:13,,2018/11/11 10:02,0:08:30,0:08:30,,01,02,,,2018/11/11 10:02,2018/11/11 10:13,43415.418055555643415.4256944444,#N/A,,,
-,-,10,2018/11/11 10:04,022-185-GREEN,12378,乗客アプリ（目的地から）,1358,198,4,1,,2018/11/11 10:07,2018/11/11 10:12,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/11 10:08,2018/11/11 10:08,2018/11/11 10:17,2018/11/11 10:17,,2018/11/11 10:04,0:04:34,0:04:34,,00,03,,,2018/11/11 10:04,2018/11/11 10:12,43415.419444444443415.425,#N/A,,,
-,-,10,2018/11/11 10:05,166-623-agekke,12379,乗客アプリ（目的地から）,5695,352,2,1,,2018/11/11 10:08,2018/11/11 10:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/11 10:09,2018/11/11 10:09,2018/11/11 10:22,2018/11/11 10:22,,2018/11/11 10:05,0:09:27,0:09:27,,00,03,,,2018/11/11 10:05,2018/11/11 10:18,43415.420138888943415.4291666667,#N/A,,,
-,-,10,2018/11/11 10:09,166-574-agekke,12380,乗客アプリ（目的地から）,3600,940,6,1,,2018/11/11 10:12,2018/11/11 10:32,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/11 10:11,2018/11/11 10:11,2018/11/11 10:22,2018/11/11 10:22,,2018/11/11 10:09,0:20:15,0:20:15,,00,02,,,2018/11/11 10:09,2018/11/11 10:32,43415.422916666743415.4388888889,#N/A,,,
