,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,
★,-,10,2018/11/12 9:47,103-423-SNOW,12904,乗客アプリ（地図から）,5973,846,2,1,,2018/11/12 10:07,2018/11/12 10:16,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.453715 139.638133,横浜ワールドポーターズ,2018/11/12 10:02,2018/11/12 10:02,2018/11/12 10:14,2018/11/12 10:14,2018/11/12 9:57,2018/11/12 9:57,0:09:10,0:09:10,349,05,07,05,04,2018/11/12 9:47,2018/11/12 10:16,43416.407638888943416.4277777778,肯定的,2018/11/12 10:00,※10時以前に予約しているため
-,-,10,2018/11/12 9:49,063-754-BANANA,12906,まちかど端末（店舗から）,0,20,11,1,,2018/11/12 10:09,2018/11/12 10:13,35.448676 139.635696,横浜平和プラザホテル,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/12 10:08,2018/11/12 10:08,2018/11/12 10:14,2018/11/12 10:14,,2018/11/12 9:49,0:03:46,0:03:46,,00,09,,,2018/11/12 9:49,2018/11/12 10:13,43416.409027777843416.4256944444,#N/A,2018/11/12 10:00,※10時以前に予約しているため
-,-,10,2018/11/12 9:57,167-554-CAKE,12908,乗客アプリWeb（簡単予約）,5600,375,8,1,,2018/11/12 10:12,2018/11/12 10:24,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/12 10:12,2018/11/12 10:12,2018/11/12 10:28,2018/11/12 10:28,,2018/11/12 9:57,0:11:19,0:11:19,,00,12,,,2018/11/12 9:57,2018/11/12 10:24,43416.414583333343416.4333333333,#N/A,2018/11/12 10:00,※10時以前に予約しているため
-,-,10,2018/11/12 10:00,063-658-BANANA,12913,まちかど端末（乗降ポイントから）,0,33,4,1,,2018/11/12 10:03,2018/11/12 10:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 10:02,2018/11/12 10:05,2018/11/12 10:10,2018/11/12 10:14,,2018/11/12 10:00,0:07:14,0:07:14,,00,02,,,2018/11/12 10:00,2018/11/12 10:10,43416.416666666743416.4236111111,#N/A,,
-,-,10,2018/11/12 10:01,166-606-agekke,12914,乗客アプリ（地図から）,1885,208,6,1,,2018/11/12 10:04,2018/11/12 10:15,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/12 10:02,2018/11/12 10:05,2018/11/12 10:14,2018/11/12 10:17,,2018/11/12 10:01,0:10:55,0:10:55,,01,02,,,2018/11/12 10:01,2018/11/12 10:15,43416.417361111143416.4270833333,肯定的,,
-,-,10,2018/11/12 10:01,165-931-staff,12915,乗客アプリ（地図から）,1964,62,4,1,,2018/11/12 10:03,2018/11/12 10:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/12 10:05,2018/11/12 10:05,2018/11/12 10:13,2018/11/12 10:13,,2018/11/12 10:01,0:07:15,0:07:15,,00,01,,,2018/11/12 10:01,2018/11/12 10:10,43416.417361111143416.4236111111,肯定的,,
-,-,10,2018/11/12 10:02,166-629-agekke,12916,乗客アプリ（地図から）,2171,94,6,1,,2018/11/12 10:04,2018/11/12 10:27,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/12 10:06,2018/11/12 10:06,2018/11/12 10:24,2018/11/12 10:24,,2018/11/12 10:02,0:23:13,0:23:13,,00,01,,,2018/11/12 10:02,2018/11/12 10:27,43416.418055555643416.4354166667,#N/A,,
★,-,10,2018/11/12 10:05,113-131-SUN,12917,乗客アプリ（地図から）,4073,407,6,1,,2018/11/12 10:09,2018/11/12 10:22,35.450554 139.632616,横浜桜木町ワシントンホテル,35.447541 139.644914,シルク博物館,2018/11/12 10:15,2018/11/12 10:15,2018/11/12 10:29,2018/11/12 10:29,2018/11/12 10:15,2018/11/12 10:15,0:13:05,0:13:05,,00,00,,,2018/11/12 10:05,2018/11/12 10:22,43416.420138888943416.4319444444,#N/A,,
-,-,10,2018/11/12 10:08,018-145-RED,12918,乗客アプリ（目的地から）,1358,120,4,1,,2018/11/12 10:16,2018/11/12 10:24,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/12 10:17,2018/11/12 10:17,2018/11/12 10:26,2018/11/12 10:26,,2018/11/12 10:08,0:07:40,0:07:40,,00,08,,,2018/11/12 10:08,2018/11/12 10:24,43416.422222222243416.4333333333,#N/A,,
-,-,10,2018/11/12 10:09,166-614-agekke,12919,乗客アプリ（地図から）,2435,622,10,1,,2018/11/12 10:14,2018/11/12 10:26,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/12 10:15,2018/11/12 10:17,2018/11/12 10:29,2018/11/12 10:36,,2018/11/12 10:09,0:11:29,0:11:29,,00,05,,,2018/11/12 10:09,2018/11/12 10:26,43416.422916666743416.4347222222,#N/A,,
-,-,10,2018/11/12 10:09,114-350-SUN,12920,乗客アプリ（目的地から）,895,75,11,1,,2018/11/12 10:18,2018/11/12 10:25,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/12 10:18,2018/11/12 10:18,2018/11/12 10:27,2018/11/12 10:27,,2018/11/12 10:09,0:07:09,0:07:09,,00,09,,,2018/11/12 10:09,2018/11/12 10:25,43416.422916666743416.4340277778,#N/A,,
