,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,時間,降車時間,合成キー,評価,,計算用ダミー,,
★,-,10,2018/11/15 9:45,019-154-RED,14163,乗客アプリ（地図から）,3738,185,10,1,,2018/11/15 10:05,2018/11/15 10:12,35.441002 139.650809,横浜元町ショッピングストリート,35.45435 139.631762,横浜ロイヤルパークホテル,2018/11/15 10:14,2018/11/15 10:14,2018/11/15 10:30,2018/11/15 10:33,2018/11/15 9:55,2018/11/15 9:55,0:07:05,0:07:05,237,00,05,04,03,2018/11/15 9:45,2018/11/15 10:12,43419.4062543419.425,#N/A,,2018/11/15 10:00,※10時以前に予約しているため,
★,-,10,2018/11/15 10:00,025-797-GREEN,14169,乗客アプリ（地図から）,3394,603,7,1,,2018/11/15 10:09,2018/11/15 10:19,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/11/15 10:11,2018/11/15 10:11,2018/11/15 10:23,2018/11/15 10:23,2018/11/15 10:10,2018/11/15 10:10,0:09:30,0:09:30,,00,00,,,2018/11/15 10:00,2018/11/15 10:19,43419.416666666743419.4298611111,#N/A,,,,
-,-,10,2018/11/15 10:00,005-798-BLUE,14170,乗客アプリ（目的地から）,5702,530,11,1,,2018/11/15 10:04,2018/11/15 10:08,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/15 10:06,2018/11/15 10:06,2018/11/15 10:12,2018/11/15 10:12,,2018/11/15 10:00,0:04:00,0:04:00,,00,04,,,2018/11/15 10:00,2018/11/15 10:08,43419.416666666743419.4222222222,#N/A,,,,
-,-,10,2018/11/15 10:01,117-935-SUN,14172,乗客アプリ（地図から）,1075,450,2,1,,2018/11/15 10:05,2018/11/15 10:11,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 10:03,2018/11/15 10:04,2018/11/15 10:11,2018/11/15 10:19,,2018/11/15 10:01,0:05:59,0:05:59,,01,03,,,2018/11/15 10:01,2018/11/15 10:11,43419.417361111143419.4243055556,肯定的,,,,
★,-,10,2018/11/15 10:02,066-382-BANANA 066-381-BANANA,14173,まちかど端末（店舗から）,0,38,2,2,,2018/11/15 10:06,2018/11/15 10:19,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443659 139.650847,横浜マリンタワー,2018/11/15 10:11,2018/11/15 10:11,2018/11/15 10:30,2018/11/15 10:30,2018/11/15 10:11,2018/11/15 10:11,0:13:07,0:26:14,,00,00,,,2018/11/15 10:02,2018/11/15 10:19,43419.418055555643419.4298611111,#N/A,,,,
-,-,10,2018/11/15 10:04,166-705-agekke,14174,乗客アプリ（目的地から）,2306,220,5,1,,2018/11/15 10:09,2018/11/15 10:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/15 10:07,2018/11/15 10:07,2018/11/15 10:20,2018/11/15 10:20,,2018/11/15 10:04,0:09:11,0:09:11,,02,05,,,2018/11/15 10:04,2018/11/15 10:18,43419.419444444443419.4291666667,肯定的,,,,
-,-,10,2018/11/15 10:05,010-350-RED,14175,乗客アプリ（地図から）,4852,286,6,1,,2018/11/15 10:12,2018/11/15 10:16,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/15 10:09,2018/11/15 10:09,2018/11/15 10:15,2018/11/15 10:15,,2018/11/15 10:05,0:03:16,0:03:16,,03,07,,,2018/11/15 10:05,2018/11/15 10:16,43419.420138888943419.4277777778,#N/A,,,,
-,-,10,2018/11/15 10:07,001-050-BLUE,14176,乗客アプリ（目的地から）,1358,464,8,1,,2018/11/15 10:10,2018/11/15 10:15,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/15 10:09,2018/11/15 10:09,2018/11/15 10:18,2018/11/15 10:18,,2018/11/15 10:07,0:05:17,0:05:17,,01,02,,,2018/11/15 10:07,2018/11/15 10:15,43419.421527777843419.4270833333,#N/A,,,,
-,-,10,2018/11/15 10:09,166-745-agekke,14178,乗客アプリ（地図から）,1888,518,3,1,,2018/11/15 10:11,2018/11/15 10:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/15 10:11,2018/11/15 10:11,2018/11/15 10:22,2018/11/15 10:22,,2018/11/15 10:09,0:11:11,0:11:11,,00,02,,,2018/11/15 10:09,2018/11/15 10:22,43419.422916666743419.4319444444,#N/A,,,,
-,-,10,2018/11/15 10:10,031-387-YELLOW,14179,乗客アプリ（地図から）,1771,119,9,1,,2018/11/15 10:14,2018/11/15 10:19,35.450554 139.632616,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/11/15 10:14,2018/11/15 10:14,2018/11/15 10:22,2018/11/15 10:22,,2018/11/15 10:10,0:05:13,0:05:13,,00,03,,,2018/11/15 10:10,2018/11/15 10:19,43419.423611111143419.4298611111,肯定的,,,,
-,-,10,2018/11/15 10:10,166-560-agekke,14180,乗客アプリ（目的地から）,5385,659,13,1,,2018/11/15 10:14,2018/11/15 10:25,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/15 10:14,2018/11/15 10:14,2018/11/15 10:29,2018/11/15 10:29,,2018/11/15 10:10,0:11:19,0:11:19,,00,04,,,2018/11/15 10:10,2018/11/15 10:25,43419.423611111143419.4340277778,#N/A,,,,
-,-,10,2018/11/15 10:10,110-339-SUN 110-340-SUN 110-321-SUN,14181,乗客アプリ（目的地から）,6265,414,10,3,,2018/11/15 10:17,2018/11/15 10:23,35.450554 139.632616,横浜桜木町ワシントンホテル,35.4587 139.625091,横浜アンパンマンこどもミュージアム,2018/11/15 10:19,2018/11/15 10:19,2018/11/15 10:30,2018/11/15 10:30,,2018/11/15 10:10,0:06:33,0:19:39,,00,06,,,2018/11/15 10:10,2018/11/15 10:23,43419.423611111143419.4326388889,#N/A,,,,
-,-,10,2018/11/15 10:16,051-641-STRAWBERRY,14183,乗客アプリ（目的地から）,6135,959,11,1,,2018/11/15 10:23,2018/11/15 10:32,35.450554 139.632616,横浜桜木町ワシントンホテル,35.441002 139.650809,横浜元町ショッピングストリート,2018/11/15 10:24,2018/11/15 10:24,2018/11/15 10:35,2018/11/15 10:35,,2018/11/15 10:16,0:08:47,0:08:47,,00,07,,,2018/11/15 10:16,2018/11/15 10:32,43419.427777777843419.4388888889,肯定的,,,,
-,-,10,2018/11/15 10:19,018-901-RED,14184,まちかど端末（乗降ポイントから）,0,18,6,1,,2018/11/15 10:22,2018/11/15 10:33,35.4587 139.625091,横浜アンパンマンこどもミュージアム,35.443073 139.651914,横浜人形の家,2018/11/15 10:24,2018/11/15 10:24,2018/11/15 10:40,2018/11/15 10:40,,2018/11/15 10:19,0:11:25,0:11:25,,00,02,,,2018/11/15 10:19,2018/11/15 10:33,43419.429861111143419.4395833333,#N/A,,,,
★,-,10,2018/11/15 10:19,141-000-STAR,14185,乗客アプリ（目的地から）,6269,145,3,1,,2018/11/15 10:23,2018/11/15 10:30,35.443908 139.635249,イセザキ・モール,35.454389 139.630904,横浜ランドマークタワー,2018/11/15 10:29,2018/11/15 10:29,2018/11/15 10:40,2018/11/15 10:40,2018/11/15 10:29,2018/11/15 10:29,0:07:25,0:07:25,,00,00,,,2018/11/15 10:19,2018/11/15 10:30,43419.429861111143419.4375,肯定的,,,,
-,-,10,2018/11/15 10:24,166-578-agekke,14186,乗客アプリ（目的地から）,3162,285,10,1,,2018/11/15 10:25,2018/11/15 10:33,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443073 139.651914,横浜人形の家,2018/11/15 10:26,2018/11/15 10:26,2018/11/15 10:41,2018/11/15 10:41,,2018/11/15 10:24,0:07:33,0:07:33,,00,01,,,2018/11/15 10:24,2018/11/15 10:33,43419.433333333343419.4395833333,#N/A,,2018/11/8 10:00,※10時以前に予約しているため,
-,-,10,2018/11/15 10:28,112-579-SUN 112-611-SUN,14188,乗客アプリ（地図から）,3711,816,13,2,,2018/11/15 10:29,2018/11/15 10:35,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.443908 139.635249,イセザキ・モール,2018/11/15 10:29,2018/11/15 10:29,2018/11/15 10:38,2018/11/15 10:44,,2018/11/15 10:28,0:05:40,0:11:20,,00,01,,,2018/11/15 10:28,2018/11/15 10:35,43419.436111111143419.4409722222,時刻かぶり,,,,
-,-,10,2018/11/15 10:28,028-682-GREEN,14190,乗客アプリ（目的地から）,1312,597,8,1,,2018/11/15 10:31,2018/11/15 10:35,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/15 10:30,2018/11/15 10:30,2018/11/15 10:38,2018/11/15 10:38,,2018/11/15 10:28,0:04:26,0:04:26,,01,03,,,2018/11/15 10:28,2018/11/15 10:35,43419.436111111143419.4409722222,肯定的,,,,
★,-,10,2018/11/15 10:39,068-473-BANANA,14194,乗客アプリ（目的地から）,6255,731,10,1,,2018/11/15 10:44,2018/11/15 10:47,35.445857 139.647636,ホテルモントレ横浜,35.443073 139.651914,横浜人形の家,2018/11/15 10:49,2018/11/15 10:49,2018/11/15 10:52,2018/11/15 10:52,2018/11/15 10:49,2018/11/15 10:49,0:02:19,0:02:19,,00,00,,,2018/11/15 10:39,2018/11/15 10:47,43419.4437543419.4493055556,肯定的,,,,
-,-,10,2018/11/15 10:41,115-020-SUN,14195,乗客アプリ（地図から）,4073,893,8,1,,2018/11/15 10:43,2018/11/15 10:51,35.450554 139.632616,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/11/15 10:44,2018/11/15 10:44,2018/11/15 10:51,2018/11/15 10:51,,2018/11/15 10:41,0:07:51,0:07:51,,00,02,,,2018/11/15 10:41,2018/11/15 10:51,43419.445138888943419.4520833333,#N/A,,,,
-,-,10,2018/11/15 10:44,068-322-BANANA 068-321-BANANA,14196,乗客アプリ（地図から）,2950,492,11,2,,2018/11/15 10:51,2018/11/15 10:57,35.448801 139.636702,ホテルルートイン横浜馬車道,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/15 10:47,2018/11/15 10:47,2018/11/15 10:55,2018/11/15 10:55,,2018/11/15 10:44,0:06:34,0:13:08,,04,06,,,2018/11/15 10:44,2018/11/15 10:57,43419.447222222243419.45625,#N/A,,,,
★,-,10,2018/11/15 10:45,012-264-RED 012-265-RED,14197,乗客アプリ（地図から）,2678,352,8,2,,2018/11/15 10:51,2018/11/15 10:59,35.447541 139.644914,シルク博物館,35.453715 139.638133,横浜ワールドポーターズ,2018/11/15 10:55,2018/11/15 10:55,2018/11/15 11:08,2018/11/15 11:08,2018/11/15 10:55,2018/11/15 10:55,0:08:04,0:16:08,,00,00,,,2018/11/15 10:45,2018/11/15 10:59,43419.447916666743419.4576388889,#N/A,,,,
-,-,10,2018/11/15 10:52,069-446-BANANA 069-445-BANANA,14200,乗客アプリ（地図から）,6200,925,1,2,,2018/11/15 10:57,2018/11/15 11:01,35.456605 139.635327,横浜ベイホテル東急,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/15 10:59,2018/11/15 10:59,2018/11/15 11:06,2018/11/15 11:06,,2018/11/15 10:52,0:04:00,0:08:00,,00,05,,,2018/11/15 10:52,2018/11/15 11:01,43419.452777777843419.4590277778,肯定的,,,,
-,-,10,2018/11/15 10:57,010-125-RED,14201,乗客アプリ（地図から）,4708,951,4,1,,2018/11/15 10:59,2018/11/15 11:12,35.443659 139.650847,横浜マリンタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/15 11:00,2018/11/15 11:00,2018/11/15 11:17,2018/11/15 11:17,,2018/11/15 10:57,0:13:03,0:13:03,,00,02,,,2018/11/15 10:57,2018/11/15 11:12,43419.4562543419.4666666667,#N/A,,,,
-,-,10,2018/11/15 10:58,024-537-GREEN,14202,乗客アプリ（地図から）,1958,189,9,1,,2018/11/15 11:01,2018/11/15 11:09,35.443908 139.635249,イセザキ・モール,35.441441 139.648505,横浜中華街朱雀門,2018/11/15 11:02,2018/11/15 11:02,2018/11/15 11:10,2018/11/15 11:10,,2018/11/15 10:58,0:08:12,0:08:12,,00,03,,,2018/11/15 10:58,2018/11/15 11:09,43419.456944444443419.4645833333,肯定的,,,,
-,☆,10,2018/11/15 9:47,167-662-CAKE,14164,乗客アプリWeb（地図から）,5923,198,10,1,2018/11/15 9:49,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/15 10:19,,2018/11/15 10:29,,,2018/11/15 9:47,0:00:00,0:00:00,,00,19,,,2018/11/15 9:47,1900/1/0 0:00,43419.40763888890,#N/A,,2018/11/15 10:00,※10時以前に予約しているため,"※31,28行と同一人物と思われるため一番短い待ち時間を採用"
-,☆,10,2018/11/15 9:50,167-662-CAKE,14165,乗客アプリWeb（簡単予約）,5923,181,10,1,2018/11/15 9:50,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 10:19,,2018/11/15 10:28,,,2018/11/15 9:50,0:00:00,0:00:00,,00,,,,2018/11/15 9:50,1900/1/0 0:00,43419.40972222220,#N/A,,2018/11/15 10:00,※10時以前に予約しているため,"※27,31行と同一人物と思われるため一番短い待ち時間を採用"
★,☆,10,2018/11/15 9:52,010-353-RED,14166,乗客アプリ（目的地から）,5081,872,10,1,2018/11/15 9:52,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/15 10:33,,2018/11/15 10:40,,2018/11/15 10:02,2018/11/15 10:02,0:00:00,0:00:00,,00,,,,2018/11/15 9:52,1900/1/0 0:00,43419.41111111110,#N/A,,※30行と同一人物と思われるため一番短い待ち時間を採用,,
★,☆,10,2018/11/15 9:53,010-353-RED,14167,乗客アプリ（目的地から）,5081,519,10,1,2018/11/15 9:53,,,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/15 10:33,,2018/11/15 10:40,,2018/11/15 10:03,2018/11/15 10:03,0:00:00,0:00:00,,00,29,,,2018/11/15 9:53,1900/1/0 0:00,43419.41180555560,#N/A,,※29行と同一人物と思われるため一番短い待ち時間を採用,,
-,☆,10,2018/11/15 9:54,167-662-CAKE,14168,乗客アプリWeb（地図から）,5923,439,10,1,2018/11/15 9:55,,,35.443569 139.641792,ダイワロイネットホテル横浜公園,35.45256 139.630848,ニューオータニイン横浜プレミアム,2018/11/15 10:19,,2018/11/15 10:29,,,2018/11/15 9:54,0:00:00,0:00:00,,00,,,,2018/11/15 9:54,1900/1/0 0:00,43419.41250,#N/A,,2018/11/15 10:00,※10時以前に予約しているため,"※27,28行と同一人物と思われるため一番短い待ち時間を採用"
-,☆,10,2018/11/15 10:01,024-970-GREEN,14171,まちかど端末（店舗から）,0,545,3,1,2018/11/15 10:01,,,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,35.450554 139.632616,横浜桜木町ワシントンホテル,2018/11/15 10:07,,2018/11/15 10:16,,,2018/11/15 10:01,0:00:00,0:00:00,,00,06,,,2018/11/15 10:01,1900/1/0 0:00,43419.41736111110,#N/A,,,,
-,☆,10,2018/11/15 10:12,005-192-BLUE,14182,乗客アプリ（地図から）,999,503,11,1,2018/11/15 10:12,,,35.441441 139.648505,横浜中華街朱雀門,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/15 10:22,,2018/11/15 10:27,,,2018/11/15 10:12,0:00:00,0:00:00,,00,10,,,2018/11/15 10:12,1900/1/0 0:00,43419.4250,#N/A,,,,
