乗降ポイント識別ID       乗降ポイント名  緯度       経度       乗車可能             降車可能            
507        みなとみらいグランドセントラルタワー   35.458507           139.628741         可          可
546        横浜アンパンマンこどもミュージアム       35.4587 139.625091         可          可
500        ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜            35.458187              139.636985         可          可
523        横浜ベイホテル東急        35.456605           139.635327         可          可
502        横浜ランドマークタワー 35.454389           139.630904         可          可
521        横浜ロイヤルパークホテル           35.45435             139.631762         可          可
549        横浜みなとみらい万葉倶楽部        35.455715           139.638114         可          可
547        ＪＩＣＡ横浜 （海外移住資料館）             35.454425           139.64064           可          可
528        ニューオータニイン横浜プレミアム           35.45256             139.630848         可          可
545        横浜桜木町ワシントンホテル        35.450554           139.632616         可          可
515        馬車道駅（みなとみらい線）        35.450447           139.635947         可          可
532        横浜平和プラザホテル     35.448676           139.635696         可          可
526        ホテルルートイン横浜馬車道        35.448801           139.636702         可          可
548        シルク博物館      35.447541           139.644914         可          可
509        横浜情報文化センター     35.445783           139.642958         可          可
534        ホテルモントレ横浜        35.445857           139.647636         可          可
525        ダイワロイネットホテル横浜公園 35.443569           139.641792         可          可
538        ホテルメルパルク横浜     35.443704           139.651332         可          可
513        横浜人形の家      35.443073           139.651914         可          可
514        元町・中華街駅（みなとみらい線）           35.44291             139.650404         可          可
541        横浜元町ショッピングストリート 35.441002           139.650809         可          可
508        横浜赤レンガ倉庫            35.452963           139.642093         可          可
539        横浜港大さん橋国際客船ターミナル           35.451031           139.647069         可          可
540        横浜中華街朱雀門            35.441441           139.648505         可          可
503        横浜ワールドポーターズ 35.453715           139.638133         可          可
511        横浜開港資料館  35.447546           139.64358           可          可
544        MARINE & WALK YOKOHAMA    35.454211           139.642721         可          可
530        ホテルビスタプレミオみなとみらい           35.462896           139.63236           可          可
533        ローズホテル横浜（横浜中華街内）           35.443863           139.64702           可          可
543        イセザキ・モール            35.443908           139.635249         可          可
510        横浜マリンタワー            35.443659           139.650847         可          可
