,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,
-,-,10,2018/11/19 9:49,069-353-BANANA 066-928-BANANA 066-927-BANANA,16202,乗客アプリ（地図から）,6657,146,10,3,,2018/11/19 10:04,2018/11/19 10:21,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/19 10:04,2018/11/19 10:04,2018/11/19 10:18,2018/11/19 10:18,,2018/11/19 9:49,0:16:39,0:49:57,467,00,04,03,03,,2018/11/19 10:00,※10時以前に予約しているため
★,-,10,2018/11/19 9:50,071-111-ORANGE 069-569-BANANA,16203,まちかど端末（店舗から）,0,432,1,2,,2018/11/19 10:04,2018/11/19 10:11,35.456605 139.635327,横浜ベイホテル東急,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/19 10:06,2018/11/19 10:06,2018/11/19 10:17,2018/11/19 10:17,2018/11/19 10:00,2018/11/19 10:00,0:07:12,0:14:24,,00,03,,,,,
★,-,10,2018/11/19 9:55,029-805-GREEN 029-803-GREEN 029-804-GREEN 030-580-YELLOW,16204,乗客アプリ（地図から）,1761,360,7,4,,2018/11/19 10:04,2018/11/19 10:14,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/19 10:05,2018/11/19 10:05,2018/11/19 10:21,2018/11/19 10:21,2018/11/19 10:05,2018/11/19 10:05,0:09:37,0:38:28,,00,00,,,,,
★,-,10,2018/11/19 9:59,027-348-GREEN,16205,乗客アプリ（簡単予約）,5679,185,5,1,,2018/11/19 10:04,2018/11/19 10:17,35.448676 139.635696,横浜平和プラザホテル,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/19 10:09,2018/11/19 10:09,2018/11/19 10:22,2018/11/19 10:22,2018/11/19 10:09,2018/11/19 10:09,0:13:08,0:13:08,,00,00,,,,,
-,-,10,2018/11/19 10:01,166-747-agekke,16206,乗客アプリ（目的地から）,2314,298,3,1,,2018/11/19 10:04,2018/11/19 10:13,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443569 139.641792,ダイワロイネットホテル横浜公園,2018/11/19 10:03,2018/11/19 10:03,2018/11/19 10:16,2018/11/19 10:16,,2018/11/19 10:01,0:09:40,0:09:40,,00,02,,,,,
-,-,10,2018/11/19 10:03,067-405-BANANA 067-409-BANANA,16207,まちかど端末（店舗から）,0,748,4,2,,2018/11/19 10:05,2018/11/19 10:11,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/19 10:04,2018/11/19 10:04,2018/11/19 10:12,2018/11/19 10:12,,2018/11/19 10:03,0:06:15,0:12:30,,00,02,,,,,
-,-,10,2018/11/19 10:03,166-755-agekke,16208,乗客アプリ（目的地から）,2306,786,13,1,,2018/11/19 10:06,2018/11/19 10:14,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/19 10:04,2018/11/19 10:04,2018/11/19 10:18,2018/11/19 10:18,,2018/11/19 10:03,0:08:17,0:08:17,,01,03,,,,,
-,-,10,2018/11/19 10:03,166-748-agekke,16209,乗客アプリ（目的地から）,2171,124,8,1,,2018/11/19 10:07,2018/11/19 10:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.441441 139.648505,横浜中華街朱雀門,2018/11/19 10:05,2018/11/19 10:05,2018/11/19 10:20,2018/11/19 10:20,,2018/11/19 10:03,0:11:24,0:11:24,,01,03,,,,,
-,-,10,2018/11/19 10:05,025-155-GREEN,16210,乗客アプリ（地図から）,3394,317,2,1,,2018/11/19 10:13,2018/11/19 10:21,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/11/19 10:11,2018/11/19 10:11,2018/11/19 10:23,2018/11/19 10:23,,2018/11/19 10:05,0:07:55,0:07:55,,02,07,,,,,
-,-,10,2018/11/19 10:07,031-987-YELLOW,16212,まちかど端末（乗降ポイントから）,0,702,6,1,,2018/11/19 10:09,2018/11/19 10:14,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/19 10:11,2018/11/19 10:11,2018/11/19 10:16,2018/11/19 10:16,,2018/11/19 10:07,0:04:38,0:04:38,,00,02,,,,,
