,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,,
★,-,10,2018/11/22 9:38,022-884-GREEN,17546,乗客アプリ（簡単予約）,2915,925,8,1,,2018/11/22 10:05,2018/11/22 10:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/22 10:05,2018/11/22 10:06,2018/11/22 10:14,2018/11/22 10:15,2018/11/22 9:48,2018/11/22 9:48,0:05:08,0:05:08,404,00,05,06,05,,2018/11/22 10:00,※10時以前に予約しているため,
★,-,10,2018/11/22 9:38,025-992-GREEN 023-755-GREEN 025-991-GREEN,17547,乗客アプリ（地図から）,3459,871,2,3,,2018/11/22 10:05,2018/11/22 10:12,35.454389 139.630904,横浜ランドマークタワー,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/22 10:03,2018/11/22 10:03,2018/11/22 10:13,2018/11/22 10:15,2018/11/22 9:48,2018/11/22 9:48,0:07:26,0:22:18,,02,05,,,,2018/11/22 10:00,※10時以前に予約しているため,
-,-,10,2018/11/22 10:01,117-286-SUN,17553,乗客アプリ（地図から）,4073,165,6,1,,2018/11/22 10:05,2018/11/22 10:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.445783 139.642958,横浜情報文化センター,2018/11/22 10:03,2018/11/22 10:03,2018/11/22 10:11,2018/11/22 10:11,,2018/11/22 10:01,0:05:52,0:05:52,,01,03,,,,,,
-,-,10,2018/11/22 10:01,024-855-GREEN,17554,乗客アプリ（地図から）,6191,586,11,1,,2018/11/22 10:08,2018/11/22 10:20,35.443659 139.650847,横浜マリンタワー,35.458507 139.628741,みなとみらいグランドセントラルタワー,2018/11/22 10:10,2018/11/22 10:10,2018/11/22 10:26,2018/11/22 10:26,,2018/11/22 10:01,0:11:55,0:11:55,,00,06,,,,,,
★,-,10,2018/11/22 10:03,167-828-CAKE,17556,乗客アプリWeb（目的地から）,6864,217,9,1,,2018/11/22 10:13,2018/11/22 10:20,35.454389 139.630904,横浜ランドマークタワー,35.443659 139.650847,横浜マリンタワー,2018/11/22 10:13,2018/11/22 10:13,2018/11/22 10:25,2018/11/22 10:25,2018/11/22 10:13,2018/11/22 10:13,0:07:14,0:07:14,,00,00,,,,,,
-,-,10,2018/11/22 10:05,166-436-agekke,17557,乗客アプリ（地図から）,5385,982,5,1,,2018/11/22 10:07,2018/11/22 10:16,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/22 10:07,2018/11/22 10:07,2018/11/22 10:18,2018/11/22 10:18,,2018/11/22 10:05,0:09:15,0:09:15,,00,02,,,,,,
-,-,10,2018/11/22 10:05,018-356-RED 018-355-RED,17558,乗客アプリ（地図から）,5562,835,10,2,,2018/11/22 10:13,2018/11/22 10:19,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/22 10:10,2018/11/22 10:10,2018/11/22 10:21,2018/11/22 10:21,,2018/11/22 10:05,0:06:37,0:13:14,,02,07,,,,,,
-,-,10,2018/11/22 10:05,166-428-agekke,17559,乗客アプリ（地図から）,5522,909,13,1,,2018/11/22 10:11,2018/11/22 10:22,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,2018/11/22 10:13,2018/11/22 10:13,2018/11/22 10:27,2018/11/22 10:28,,2018/11/22 10:05,0:10:33,0:10:33,,00,06,,,,,,
-,-,10,2018/11/22 10:05,002-672-BLUE,17560,乗客アプリWeb（地図から）,5621,765,4,1,,2018/11/22 10:10,2018/11/22 10:20,35.441002 139.650809,横浜元町ショッピングストリート,35.454389 139.630904,横浜ランドマークタワー,2018/11/22 10:09,2018/11/22 10:09,2018/11/22 10:26,2018/11/22 10:26,,2018/11/22 10:05,0:09:34,0:09:34,,01,05,,,,,,
-,-,10,2018/11/22 10:08,111-736-SUN 111-735-SUN,17561,乗客アプリ（簡単予約）,4313,184,6,2,,2018/11/22 10:16,2018/11/22 10:29,35.451031 139.647069,横浜港大さん橋国際客船ターミナル,35.454389 139.630904,横浜ランドマークタワー,2018/11/22 10:13,2018/11/22 10:13,2018/11/22 10:29,2018/11/22 10:29,,2018/11/22 10:08,0:12:35,0:25:10,,03,08,,,,,,
