,,,日時,乗車ID,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,,,
-,-,10,2018/11/25 9:00,065-852-BANANA 065-851-BANANA 065-850-BANANA,19675,乗客アプリ（地図から）,7280,115,9,3,,2018/11/25 10:05,2018/11/25 10:17,35.462896 139.63236,ホテルビスタプレミオみなとみらい,35.44291 139.650404,元町・中華街駅（みなとみらい線）,2018/11/25 10:04,2018/11/25 10:04,2018/11/25 10:21,2018/11/25 10:21,,2018/11/25 9:00,0:11:48,0:35:24,600,01,05,04,04,,2018/11/25 10:00,※10時以前に予約しているため,
-,-,10,2018/11/25 9:27,034-223-YELLOW 034-224-YELLOW,19676,乗客アプリ（地図から）,7348,103,7,2,,2018/11/25 10:12,2018/11/25 10:12,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443659 139.650847,横浜マリンタワー,2018/11/25 10:01,2018/11/25 10:01,2018/11/25 10:16,2018/11/25 10:16,,2018/11/25 9:27,0:00:18,0:00:36,,11,12,,,,2018/11/25 10:00,※10時以前に予約しているため,
★,-,10,2018/11/25 9:29,053-178-STRAWBERRY 056-054-STRAWBERRY,19677,乗客アプリ（簡単予約）,7349,18,1,2,,2018/11/25 10:18,2018/11/25 10:25,35.452963 139.642093,横浜赤レンガ倉庫,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,2018/11/25 10:29,2018/11/25 10:29,2018/11/25 10:39,2018/11/25 10:39,2018/11/25 10:29,2018/11/25 10:29,0:07:31,0:15:02,,00,00,,,,2018/11/25 10:00,※10時以前に予約しているため,
★,-,10,2018/11/25 9:34,076-595-ORANGE 067-451-BANANA,19678,乗客アプリ（目的地から）,7331,806,4,2,,2018/11/25 10:05,2018/11/25 10:13,35.448676 139.635696,横浜平和プラザホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/25 10:07,2018/11/25 10:07,2018/11/25 10:16,2018/11/25 10:16,2018/11/25 9:44,2018/11/25 9:44,0:07:50,0:15:40,,00,05,,,,2018/11/25 10:00,※10時以前に予約しているため,
-,-,10,2018/11/25 9:36,065-665-BANANA 065-666-BANANA,19679,乗客アプリ（地図から）,5455,938,3,2,,2018/11/25 10:07,2018/11/25 10:19,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.462896 139.63236,ホテルビスタプレミオみなとみらい,2018/11/25 10:11,2018/11/25 10:11,2018/11/25 10:28,2018/11/25 10:28,,2018/11/25 9:36,0:12:06,0:24:12,,00,07,,,,2018/11/25 10:00,※10時以前に予約しているため,
-,-,10,2018/11/25 9:36,167-916-CAKE,19680,乗客アプリWeb（簡単予約）,5430,363,2,1,,2018/11/25 10:05,2018/11/25 10:14,35.450554 139.632616,横浜桜木町ワシントンホテル,35.443659 139.650847,横浜マリンタワー,2018/11/25 10:04,2018/11/25 10:04,2018/11/25 10:15,2018/11/25 10:15,,2018/11/25 9:36,0:09:10,0:09:10,,00,05,,,,2018/11/25 10:00,※10時以前に予約しているため,
-,-,10,2018/11/25 9:48,053-194-STRAWBERRY 053-199-STRAWBERRY,19682,乗客アプリ（Myルートから）,7310,241,10,2,,2018/11/25 10:06,2018/11/25 10:11,35.448801 139.636702,ホテルルートイン横浜馬車道,35.443659 139.650847,横浜マリンタワー,2018/11/25 10:08,2018/11/25 10:08,2018/11/25 10:16,2018/11/25 10:16,,2018/11/25 9:48,0:05:50,0:11:40,,00,06,,,,2018/11/25 10:00,※10時以前に予約しているため,
★,-,10,2018/11/25 9:55,031-675-YELLOW 031-676-YELLOW,19686,乗客アプリ（簡単予約）,7099,32,1,2,,2018/11/25 10:09,2018/11/25 10:17,35.448801 139.636702,ホテルルートイン横浜馬車道,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/25 10:08,2018/11/25 10:08,2018/11/25 10:16,2018/11/25 10:16,2018/11/25 10:05,2018/11/25 10:05,0:07:56,0:15:52,,01,04,,,,2018/11/25 10:00,※10時以前に予約しているため,
-,-,10,2018/11/25 9:56,010-357-RED,19687,乗客アプリ（地図から）,4852,214,5,1,,2018/11/25 10:03,2018/11/25 10:06,35.450447 139.635947,馬車道駅（みなとみらい線）,35.454425 139.64064,ＪＩＣＡ横浜 （海外移住資料館）,2018/11/25 10:06,2018/11/25 10:06,2018/11/25 10:11,2018/11/25 10:11,,2018/11/25 9:56,0:02:45,0:02:45,,00,03,,,,2018/11/25 10:00,※10時以前に予約しているため,
-,-,10,2018/11/25 10:00,166-501-agekke,19689,乗客アプリ（地図から）,4183,763,15,1,,2018/11/25 10:04,2018/11/25 10:18,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/25 10:03,2018/11/25 10:04,2018/11/25 10:13,2018/11/25 10:21,,2018/11/25 10:00,0:13:17,0:13:17,,01,04,,,,,,
