,,,日時,,デマンドID,予約種別,乗客ユニークID,passengerID,車両ID,乗車人数,キャンセル時刻,乗車時刻,降車時刻,乗車位置（緯度、経度）,乗車乗降ポイント,降車位置（緯度、経度）,降車乗降ポイント,乗車予定時間（初回）,乗車予定時間（最終）,降車予定時間（初回）,降車予定時間（最終）,希望乗車時間,希望時間（理論値）,乗車時間,のべ乗車時間,時間帯合計・分(秒切捨）,遅れ時間,待ち時間,待ち時間（平均）,待ち時間（中央値）,,計算用ダミー,
-,-,10,2018/11/29 9:48,065-178-BANANA,21522,まちかど端末（店舗から）,0,471,4,1,,2018/11/29 10:03,2018/11/29 10:08,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/29 10:04,2018/11/29 10:04,2018/11/29 10:13,2018/11/29 10:13,,2018/11/29 9:48,0:04:51,0:04:51,372,00,03,04,04,,2018/11/29 10:00,※10時以前に予約しているため
-,-,10,2018/11/29 9:54,063-794-BANANA,21523,まちかど端末（店舗から）,0,697,8,1,,2018/11/29 10:07,2018/11/29 10:14,35.448676 139.635696,横浜平和プラザホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/29 10:07,2018/11/29 10:07,2018/11/29 10:18,2018/11/29 10:18,,2018/11/29 9:54,0:06:56,0:06:56,,00,07,,,,2018/11/29 10:00,※10時以前に予約しているため
-,-,10,2018/11/29 9:56,023-021-GREEN,21524,乗客アプリ（簡単予約）,2915,227,6,1,,2018/11/29 10:04,2018/11/29 10:10,35.450554 139.632616,横浜桜木町ワシントンホテル,35.454211 139.642721,MARINE & WALK YOKOHAMA,2018/11/29 10:05,2018/11/29 10:05,2018/11/29 10:14,2018/11/29 10:14,,2018/11/29 9:56,0:05:24,0:05:24,,00,04,,,,2018/11/29 10:00,※10時以前に予約しているため
★,-,10,2018/11/29 10:04,005-347-BLUE,21525,乗客アプリ（Myルートから）,3394,177,10,1,,2018/11/29 10:12,2018/11/29 10:25,35.441002 139.650809,横浜元町ショッピングストリート,35.453715 139.638133,横浜ワールドポーターズ,2018/11/29 10:14,2018/11/29 10:14,2018/11/29 10:26,2018/11/29 10:26,2018/11/29 10:14,2018/11/29 10:14,0:13:09,0:13:09,,00,00,,,,,
★,-,10,2018/11/29 10:04,015-292-RED,21526,乗客アプリ（簡単予約）,6833,825,2,1,,2018/11/29 10:11,2018/11/29 10:20,35.45256 139.630848,ニューオータニイン横浜プレミアム,35.443908 139.635249,イセザキ・モール,2018/11/29 10:14,2018/11/29 10:14,2018/11/29 10:22,2018/11/29 10:22,2018/11/29 10:14,2018/11/29 10:14,0:08:27,0:08:27,,00,00,,,,,
-,-,10,2018/11/29 10:05,166-401-agekke,21527,乗客アプリ（地図から）,1885,41,3,1,,2018/11/29 10:11,2018/11/29 10:21,35.458507 139.628741,みなとみらいグランドセントラルタワー,35.443908 139.635249,イセザキ・モール,2018/11/29 10:15,2018/11/29 10:15,2018/11/29 10:26,2018/11/29 10:26,,2018/11/29 10:05,0:10:15,0:10:15,,00,06,,,,,
-,-,10,2018/11/29 10:06,116-116-SUN,21528,乗客アプリ（目的地から）,7692,612,5,1,,2018/11/29 10:15,2018/11/29 10:21,35.450554 139.632616,横浜桜木町ワシントンホテル,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,2018/11/29 10:12,2018/11/29 10:14,2018/11/29 10:22,2018/11/29 10:28,,2018/11/29 10:06,0:05:38,0:05:38,,02,09,,,,,
-,-,10,2018/11/29 10:06,002-675-BLUE,21529,乗客アプリ（Myルートから）,6126,307,1,1,,2018/11/29 10:11,2018/11/29 10:16,35.443863 139.64702,ローズホテル横浜（横浜中華街内）,35.448801 139.636702,ホテルルートイン横浜馬車道,2018/11/29 10:10,2018/11/29 10:10,2018/11/29 10:16,2018/11/29 10:16,,2018/11/29 10:06,0:04:20,0:04:20,,01,05,,,,,
-,-,10,2018/11/29 10:08,070-734-ORANGE 069-595-BANANA 070-735-ORANGE,21531,乗客アプリ（地図から）,7681,343,4,3,,2018/11/29 10:11,2018/11/29 10:22,35.458187 139.636985,ヨコハマ グランド インターコンチネンタル ホテル／パシフィコ横浜,35.443659 139.650847,横浜マリンタワー,2018/11/29 10:09,2018/11/29 10:09,2018/11/29 10:25,2018/11/29 10:25,,2018/11/29 10:08,0:10:29,0:31:27,,01,03,,,,,
★,-,10,2018/11/29 10:09,007-574-BLUE,21532,乗客アプリ（Myルートから）,1358,9,5,1,,2018/11/29 10:16,2018/11/29 10:25,35.450554 139.632616,横浜桜木町ワシントンホテル,35.452963 139.642093,横浜赤レンガ倉庫,2018/11/29 10:19,2018/11/29 10:19,2018/11/29 10:35,2018/11/29 10:35,2018/11/29 10:19,2018/11/29 10:19,0:08:50,0:08:50,,00,00,,,,,
